| Economy | ZIMBABWE |
| Stock of narrow money: | $2.159 billion (31 December 2014 est.) |
| Stock of narrow money: | note: Zimbabwe's central bank no longer publishes data on monetary aggregates, except for bank deposits, which amounted to $2.1 billion in November 2010; the Zimbabwe dollar stopped circulating in early 2009; since then, the US dollar and South African rand have been the most frequently used currencies; there are no reliable estimates of the amount of foreign currency circulating in Zimbabwe |
| Stock of broad money: | $47.64 billion (31 December 2013 est.) |
| Stock of broad money: | $101.1 billion (31 December 2014 est.) |
| Stock of domestic credit: | $5.013 billion (31 December 2015 est.) |
| Stock of domestic credit: | $5.123 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $4.073 billion (13 April 2015 est.) |
| Market value of publicly traded shares: | $11.82 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $10.9 billion (31 December 2011 est.) |
| Current account balance: | -$2.466 billion (2015 est.) |
| Current account balance: | -$2.639 billion (2014 est.) |
| Exports: | $3.551 billion (2015 est.) |
| Exports: | $3.703 billion (2014 est.) |
| Exports - commodities: | platinum, cotton, tobacco, gold, ferroalloys, textiles/clothing |
| Exports - partners: | China 27.8%, Democratic Republic of the Congo 14%, Botswana 12.5%, South Africa 7.6% (2015) |
| Imports: | $6.016 billion (2015 est.) |
| Imports: | $6.307 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, other manufactures, chemicals, fuels, food products |
| Imports - partners: | South Africa 48.1%, China 12.1%, India 5.2%, Zambia 4.6% (2015) |
| Reserves of foreign exchange and gold: | $339.1 million (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $363.4 million (31 December 2014 est.) |
| Debt - external: | $10.56 billion (31 December 2015 est.) |
| Debt - external: | $10.57 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $3.084 billion (31 December 20145 est.) |
| Stock of direct foreign investment - abroad: | $234 million (31 December 2015 est.) |
| Exchange rates: | Zimbabwean dollars (ZWD) per US dollar - |
| Exchange rates: | NA (2013) |
| Exchange rates: | 234.25 (2010) |
| Exchange rates: | 234.25 (2009) |
| Exchange rates: | 9,686.8 (2007) |
| Exchange rates: | note: the dollar was adopted as a legal currency in 2009; since then the Zimbabwean dollar has experienced hyperinflation and is essentially worthless |
