| Economy | ZIMBABWE |
| Stock of broad money: | $3.617 billion (31 December 2015 est.) |
| Stock of broad money: | $3.753 billion (31 December 2016 est.) |
| Stock of domestic credit: | $5.398 billion (31 December 2016 est.) |
| Stock of domestic credit: | $5.203 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $4.073 billion (13 April 2015 est.) |
| Market value of publicly traded shares: | $11.82 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $10.9 billion (31 December 2011 est.) |
| Current account balance: | $-662 million (2016 est.) |
| Current account balance: | $-1.519 billion (2015 est.) |
| Exports: | $3.366 billion (2016 est.) |
| Exports: | $3.614 billion (2015 est.) |
| Exports - commodities: | platinum, cotton, tobacco, gold, ferroalloys, textiles/clothing |
| Exports - partners: | South Africa 79.5%, Mozambique 9.5%, UAE 4.1% (2016) |
| Imports: | $5.351 billion (2016 est.) |
| Imports: | $6.062 billion (2015 est.) |
| Imports - commodities: | machinery and transport equipment, other manufactures, chemicals, fuels, food products |
| Imports - partners: | South Africa 46.6%, Zambia 24% (2016) |
| Reserves of foreign exchange and gold: | $407.2 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $433.8 million (31 December 2015 est.) |
| Debt - external: | $10.14 billion (31 December 2016 est.) |
| Debt - external: | $8.735 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $3.518 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $3.199 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $271.6 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $238.6 million (31 December 2015 est.) |
| Exchange rates: | Zimbabwean dollars (ZWD) per US dollar - |
| Exchange rates: | 1 (2016 est.) |
| Exchange rates: | NA (2013) |
| Exchange rates: | 234.25 (2010) |
| Exchange rates: | note: the dollar was adopted as a legal currency in 2009; since then the Zimbabwean dollar has experienced hyperinflation and is essentially worthless |
