| Economy | Azerbaijan |
| GDP - composition, by end use: | exports of goods and services: 49.9% |
| GDP - composition, by end use: | imports of goods and services: -25.2% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.2% |
| GDP - composition, by sector of origin: | industry: 63% |
| GDP - composition, by sector of origin: | services: 30.8% (2013 est.) |
| Agriculture - products: | cotton, grain, rice, grapes, fruit, vegetables, tea, tobacco; cattle, pigs, sheep, goats |
| Industries: | petroleum and petroleum products, natural gas, oilfield equipment; steel, iron ore; cement; chemicals and petrochemicals; textiles |
| Industrial production growth rate: | 3% (2013 est.) |
| Labor force: | 4.68 million (2012 est.) |
| Labor force - by occupation: | agriculture: 38.3% |
| Labor force - by occupation: | industry: 12.1% |
| Labor force - by occupation: | services: 49.6% (2008) |
| Unemployment rate: | 6% (2013 est.) |
| Unemployment rate: | 5.7% (2012 est.) |
| Population below poverty line: | 6% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 27.4% (2008) |
| Distribution of family income - Gini index: | 33.7 (2008) |
| Distribution of family income - Gini index: | 36.5 (2001) |
| Budget: | revenues: $27.61 billion |
| Budget: | expenditures: $27.24 billion (2013 est.) |
| Taxes and other revenues: | 36.3% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | 0.5% of GDP (2013 est.) |
| Public debt: | 7.5% of GDP (2013 est.) |
| Public debt: | 7.8% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.4% (2013 est.) |
| Inflation rate (consumer prices): | 1.1% (2012 est.) |
| Central bank discount rate: | 5% (31 December 2012 est.) |
| Central bank discount rate: | 5.25% (31 December 2011 est.) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key policy rate for the National Bank of Azerbaijan |
| Commercial bank prime lending rate: | 17% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 18.5% (31 December 2012 est.) |
| Stock of narrow money: | $17.17 billion (31 December 2013 est.) |
| Stock of narrow money: | $14.15 billion (31 December 2012 est.) |
| Stock of broad money: | $21.88 billion (31 December 2013 est.) |
| Stock of broad money: | $17.59 billion (31 December 2012 est.) |
| Stock of domestic credit: | $21.76 billion (31 December 2013 est.) |
| Stock of domestic credit: | $17.01 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $13.28 billion (2013 est.) |
| Current account balance: | $14.98 billion (2012 est.) |
| Exports: | $34.46 billion (2013 est.) |
| Exports: | $32.63 billion (2012 est.) |
| Exports - commodities: | oil and gas 90%, machinery, cotton, foodstuffs |
| Exports - partners: | Italy 25%, Indonesia 11.6%, Thailand 7%, Germany 5.7%, Israel 5.3%, France 4.7%, India 4.6%, Russia 4.5%, USA 4.1% (2013 est.) |
| Imports: | $10.72 billion (2013 est.) |
| Imports: | $9.65 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, oil products, foodstuffs, metals, chemicals |
| Imports - partners: | Russia 14.1%, Turkey 13.7%, UK 12.5%, Germany 7.7%, Ukraine 5.5%, China 5.3%, France 4% (2013 est.) |
| Reserves of foreign exchange and gold: | $13.08 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $11.28 billion (31 December 2012 est.) |
| Debt - external: | $9.552 billion (31 December 2013 est.) |
| Debt - external: | $9.11 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $14.35 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $12.35 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $8.616 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $7.516 billion (31 December 2012 est.) |
| Exchange rates: | Azerbaijani manats (AZN) per US dollar - |
| Exchange rates: | 0.785 (2013 est.) |
| Exchange rates: | 0.7857 (2012 est.) |
| Exchange rates: | 0.8027 (2010 est.) |
| Exchange rates: | 0.8038 (2009) |
| Exchange rates: | 0.8219 (2008) |
