| Economy | Germany |
| GDP - composition, by end use: | exports of goods and services: 47.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -39.7% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 30.7% (2017 est.) |
| GDP - composition, by sector of origin: | services: 68.6% (2017 est.) |
| Agriculture - products: | potatoes, wheat, barley, sugar beets, fruit, cabbages; milk products; cattle, pigs, poultry |
| Industries: | among the world's largest and most technologically advanced producers of iron, steel, coal, cement, chemicals, machinery, vehicles, machine tools, electronics, automobiles, food and beverages, shipbuilding, textiles |
| Industrial production growth rate: | 3.3% (2017 est.) |
| Labor force: | 45.9 million (2017 est.) |
| Labor force - by occupation: | agriculture: 1.4% |
| Labor force - by occupation: | industry: 24.2% |
| Labor force - by occupation: | services: 74.3% (2016) |
| Unemployment rate: | 3.8% (2017 est.) |
| Unemployment rate: | 4.2% (2016 est.) |
| Population below poverty line: | 16.7% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 24% (2000) |
| Household income or consumption by percentage share: | highest 10%: 24% (2000) |
| Distribution of family income - Gini index: | 27 (2006) |
| Distribution of family income - Gini index: | 30 (1994) |
| Budget: | revenues: 1.665 trillion (2017 est.) |
| Budget: | expenditures: 1.619 trillion (2017 est.) |
| Taxes and other revenues: | 45% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.3% (of GDP) (2017 est.) |
| Public debt: | 63.9% of GDP (2017 est.) |
| Public debt: | 67.9% of GDP (2016 est.) |
| Public debt: | note: general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the sub-sectors of central government, state government, local government and social security funds; the series are presented as a percentage of GDP and in millions of euros; GDP used as a denominator is the gross domestic product at current market prices; data expressed in national currency are converted into euro using end-of-year exchange rates provided by the European Central Bank |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.7% (2017 est.) |
| Inflation rate (consumer prices): | 0.4% (2016 est.) |
| Central bank discount rate: | 0% (31 December 2017) |
| Central bank discount rate: | 0% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 1.67% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 1.78% (31 December 2016 est.) |
| Stock of narrow money: | $2.453 trillion (31 December 2017 est.) |
| Stock of narrow money: | $2.016 trillion (31 December 2016 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $2.453 trillion (31 December 2017 est.) |
| Stock of broad money: | $2.016 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $5.033 trillion (31 December 2017 est.) |
| Stock of domestic credit: | $4.433 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $1.716 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.739 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.936 trillion (31 December 2013 est.) |
| Current account balance: | $291 billion (2017 est.) |
| Current account balance: | $297.5 billion (2016 est.) |
| Exports: | $1.434 trillion (2017 est.) |
| Exports: | $1.322 trillion (2016 est.) |
| Exports - partners: | US 8.8%, France 8.2%, China 6.8%, Netherlands 6.7%, UK 6.6%, Italy 5.1%, Austria 4.9%, Poland 4.7%, Switzerland 4.2% (2017) |
| Exports - commodities: | motor vehicles, machinery, chemicals, computer and electronic products, electrical equipment, pharmaceuticals, metals, transport equipment, foodstuffs, textiles, rubber and plastic products |
| Imports: | $1.135 trillion (2017 est.) |
| Imports: | $1.022 trillion (2016 est.) |
| Imports - commodities: | machinery, data processing equipment, vehicles, chemicals, oil and gas, metals, electric equipment, pharmaceuticals, foodstuffs, agricultural products |
| Imports - partners: | Netherlands 13.8%, China 7%, France 6.6%, Belgium 5.9%, Italy 5.4%, Poland 5.4%, Czech Republic 4.8%, US 4.5%, Austria 4.3%, Switzerland 4.2% (2017) |
| Reserves of foreign exchange and gold: | $200.1 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $173.7 billion (31 December 2015 est.) |
| Debt - external: | $5.326 trillion (31 March 2016 est.) |
| Debt - external: | $5.21 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $1.653 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $1.391 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $2.298 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $1.981 trillion (31 December 2016 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
