| Economy | Germany |
| Inflation rate (consumer prices): | 2.5% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3.07% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 3.94% (31 December 2011 est.) |
| Stock of narrow money: | $2.025 trillion (31 December 2012 est.) |
| Stock of narrow money: | $1.777 trillion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $4.281 trillion (31 December 2012 est.) |
| Stock of broad money: | $4.197 trillion (31 December 2011 est.) |
| Stock of domestic credit: | $4.277 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $4.188 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.184 trillion (31 December 2011) |
| Market value of publicly traded shares: | $1.43 trillion (31 December 2010) |
| Market value of publicly traded shares: | $1.298 trillion (31 December 2009) |
| Current account balance: | $238.5 billion (2012 est.) |
| Current account balance: | $223.3 billion (2011 est.) |
| Exports: | $1.46 trillion (2012 est.) |
| Exports: | $1.516 trillion (2011 est.) |
| Exports - commodities: | motor vehicles, machinery, chemicals, computer and electronic products, electrical equipment, pharmaceuticals, metals, transport equipment, foodstuffs, textiles, rubber and plastic products |
| Exports - partners: | France 10.1%, UK 7.1%, Netherlands 6.9%, US 6.3%, Austria 5.6%, Italy 5.4%, China 5.1%, Switzerland 4.7%, Belgium 4.3%, Poland 4.1% (2012) |
| Imports: | $1.222 trillion (2012 est.) |
| Imports: | $1.295 trillion (2011 est.) |
| Imports - commodities: | machinery, data processing equipment, vehicles, chemicals, oil and gas, metals, electric equipment, pharmaceuticals, foodstuffs, agricultural products |
| Imports - partners: | Netherlands 14.1%, France 7.5%, China 6.7%, Belgium 6.4%, Italy 5.5%, UK 4.9%, Austria 4.4%, Russia 4.4%, Czech Republic 4.1% (2012) |
| Reserves of foreign exchange and gold: | $248.9 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $238.9 billion (31 December 2011 est.) |
| Debt - external: | $5.719 trillion (31 December 2012) |
| Debt - external: | $5.338 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $1.307 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $1.222 trillion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $1.788 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.651 trillion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.72 (2011 est.) |
| Exchange rates: | 0.76 (2010 est.) |
| Exchange rates: | 0.72 (2009 est.) |
| Exchange rates: | 0.68 (2008 est.) |
