| Economy | Thailand |
| Exports - commodities: | electronics, computer parts, automobiles and parts, electrical appliances, machinery and equipment, textiles and footwear, fishery products, rice, rubber |
| Exports - partners: | China 11.7%, Japan 10.2%, US 9.9%, Hong Kong 5.7%, Malaysia 5.4%, Indonesia 4.9%, Singapore 4.7%, Australia 4.3% (2012) |
| Imports: | $217.8 billion (2012 est.) |
| Imports: | $202.1 billion (2011 est.) |
| Imports - commodities: | capital goods, intermediate goods and raw materials, consumer goods, fuels |
| Imports - partners: | Japan 20%, China 14.9%, UAE 6.3%, Malaysia 5.3%, US 5.3% (2012) |
| Reserves of foreign exchange and gold: | $181.6 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $175.1 billion (31 December 2011 est.) |
| Debt - external: | $133.7 billion (31 December 2012 est.) |
| Debt - external: | $104.6 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $185.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $159.3 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $56.14 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $41.5 billion (31 December 2011 est.) |
| Exchange rates: | baht per US dollar - |
| Exchange rates: | 31.08 (2012 est.) |
| Exchange rates: | 30.49 (2011 est.) |
| Exchange rates: | 31.69 (2010 est.) |
| Exchange rates: | 34.29 (2009) |
| Exchange rates: | 33.37 (2008) |
