| Economy | THAILAND |
| Industries: | tourism, textiles and garments, agricultural processing, beverages, tobacco, cement, light manufacturing such as jewelry and electric appliances, computers and parts, integrated circuits, furniture, plastics, automobiles and automotive parts, agricultural machinery, air conditioning and refrigeration, ceramics, aluminum, chemical, environmental management, glass, granite and marble, leather, machinery and metal work, petrochemical, petroleum refining, pharmaceuticals, printing, pulp and paper, rubber, sugar, rice, fishing, cassava, world's second-largest tungsten producer and third-largest tin producer |
| Industrial production growth rate: | 2.2% (2015 est.) |
| Labor force: | 38.55 million (2015 est.) |
| Labor force - by occupation: | agriculture: 32.2% |
| Labor force - by occupation: | industry: 16.7% |
| Labor force - by occupation: | services: 51.1% (2014 est.) |
| Unemployment rate: | 0.9% (2015 est.) |
| Unemployment rate: | 0.8% (2014 est.) |
| Population below poverty line: | 12.6% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 31.5% (2009 est.) |
| Distribution of family income - Gini index: | 48.4 (2011) |
| Distribution of family income - Gini index: | 49 (2009) |
| Budget: | revenues: $73.65 billion |
| Budget: | expenditures: $81.16 billion (2015 est.) |
| Taxes and other revenues: | 18.6% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.9% of GDP (2015 est.) |
| Public debt: | 46% of GDP (2015 est.) |
| Public debt: | 42.8% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | -0.9% (2015 est.) |
| Inflation rate (consumer prices): | 1.9% (2014 est.) |
| Central bank discount rate: | 2% (31 December 2014) |
| Central bank discount rate: | 2.25% (31 December 2013) |
| Commercial bank prime lending rate: | 6.56% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 6.77% (31 December 2014 est.) |
| Stock of narrow money: | $49.27 billion (31 December 2015 est.) |
| Stock of narrow money: | $51.04 billion (31 December 2014 est.) |
| Stock of broad money: | $517.4 billion (31 December 2014 est.) |
| Stock of broad money: | $524.8 billion (31 December 2013 est.) |
| Stock of domestic credit: | $486.6 billion (31 December 2015 est.) |
| Stock of domestic credit: | $509 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $313.8 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $383.2 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $245 billion (31 December 2013 est.) |
| Current account balance: | $34.82 billion (2015 est.) |
| Current account balance: | $15.42 billion (2014 est.) |
| Exports: | $212.1 billion (2015 est.) |
| Exports: | $224.8 billion (2014 est.) |
| Exports - commodities: | automobiles and parts, computer and parts, jewelry and precious stones, polymers of ethylene in primary forms, refine fuels, electronic integrated circuits, chemical products, rice, fish products, rubber products, sugar, cassava, poultry, machinery and parts, iron and steel and their products |
| Exports - partners: | US 11.2%, China 11.1%, Japan 9.4%, Hong Kong 5.5%, Malaysia 4.8%, Australia 4.6%, Vietnam 4.2%, Singapore 4.1% (2015) |
| Imports: | $177.5 billion (2015 est.) |
| Imports: | $200.2 billion (2014 est.) |
| Imports - commodities: | machinery and parts, crude oil, electrical machinery and parts, chemicals, iron & steel and product, electronic integrated circuit, automobile’s parts, jewelry including silver bars and gold, computers and parts, electrical household appliances, soybean, soybean meal, wheat, cotton, dairy products |
| Imports - partners: | China 20.3%, Japan 15.4%, US 6.9%, Malaysia 5.9%, UAE 4% (2015) |
| Reserves of foreign exchange and gold: | $156.5 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $157.1 billion (31 December 2014 est.) |
| Debt - external: | $134.7 billion (31 December 2015 est.) |
| Debt - external: | $135.8 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $186.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $207.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $78.68 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $73.46 billion (31 December 2014 est.) |
| Exchange rates: | baht per US dollar - |
| Exchange rates: | 34.248 (2015 est.) |
| Exchange rates: | 32.48 (2014 est.) |
| Exchange rates: | 32.48 (2013 est.) |
| Exchange rates: | 31.08 (2012 est.) |
| Exchange rates: | 30.492 (2011 est.) |
