| Economy | THAILAND |
| Taxes and other revenues: | 20.5% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.2% of GDP (2014 est.) |
| Public debt: | 48.6% of GDP (2014 est.) |
| Public debt: | 45.8% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 1.9% (2014 est.) |
| Inflation rate (consumer prices): | 2.2% (2013 est.) |
| Central bank discount rate: | 2% (31 December 2014) |
| Central bank discount rate: | 2.25% (31 December 2013) |
| Commercial bank prime lending rate: | 7% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 6.94% (31 December 2014 est.) |
| Stock of narrow money: | $51.76 billion (31 December 2014 est.) |
| Stock of narrow money: | $52.35 billion (31 December 2013 est.) |
| Stock of broad money: | $517.4 billion (31 December 2014 est.) |
| Stock of broad money: | $524.8 billion (31 December 2013 est.) |
| Stock of domestic credit: | $515.2 billion (31 December 2014 est.) |
| Stock of domestic credit: | $484.2 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $313.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $383.2 billion (31 December 2013) |
| Market value of publicly traded shares: | $245 billion (31 December 2012 est.) |
| Current account balance: | $13.13 billion (2014 est.) |
| Current account balance: | -$3.881 billion (2013 est.) |
| Exports: | $224.8 billion (2014 est.) |
| Exports: | $225.4 billion (2013 est.) |
| Exports - commodities: | automobiles and parts, computer and parts, jewelry and precious stones, polymers of ethylene in primary forms, refine fuels, electronic integrated circuits, chemical products, rice, fish products, rubber products, sugar, cassava, poultry, machinery and parts, iron and steel and their products |
| Exports - partners: | China 11%, US 10.5%, Japan 9.6%, Malaysia 5.6%, Hong Kong 5.5%, Singapore 4.6%, Indonesia 4.2%, Australia 4.1% (2014) |
| Imports: | $200.2 billion (2014 est.) |
| Imports: | $218.7 billion (2013 est.) |
| Imports - commodities: | machinery and parts, crude oil, electrical machinery and parts, chemicals, iron & steel and product, electronic integrated circuit, automobile&rsquo;s parts, jewelry including silver bars and gold, computers and parts, electrical household appliances, soybean, soybean meal, wheat, cotton, dairy products |
| Imports - partners: | China 16.9%, Japan 15.6%, US 6.4%, Malaysia 5.6%, UAE 5.6% (2014) |
| Reserves of foreign exchange and gold: | $157.1 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $167.3 billion (31 December 2013 est.) |
| Debt - external: | $140.7 billion (31 December 2014 est.) |
| Debt - external: | $141.9 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $207.3 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $186.4 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $73.78 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $66.94 billion (31 December 2013 est.) |
| Exchange rates: | baht per US dollar - |
| Exchange rates: | 32.484 (2014 est.) |
| Exchange rates: | 30.732 (2013 est.) |
| Exchange rates: | 31.08 (2012 est.) |
| Exchange rates: | 30.492 (2011 est.) |
| Exchange rates: | 31.686 (2010 est.) |
