| Economy | Venezuela |
| GDP - composition, by end use: | investment in inventories: 1.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 7% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -10.7% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 40.4% (2017 est.) |
| GDP - composition, by sector of origin: | services: 54.9% (2017 est.) |
| Agriculture - products: | corn, sorghum, sugarcane, rice, bananas, vegetables, coffee; beef, pork, milk, eggs; fish |
| Industries: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, pharmaceuticals, chemicals, iron and steel products, crude oil and petroleum products |
| Industrial production growth rate: | -2% (2017 est.) |
| Labor force: | 14.21 million (2017 est.) |
| Labor force - by occupation: | agriculture: 7.3% |
| Labor force - by occupation: | industry: 21.8% |
| Labor force - by occupation: | services: 70.9% (4th quarter, 2011 est.) |
| Unemployment rate: | 27.1% (2017 est.) |
| Unemployment rate: | 20.6% (2016 est.) |
| Population below poverty line: | 19.7% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 32.7% (2006) |
| Distribution of family income - Gini index: | 39 (2011) |
| Distribution of family income - Gini index: | 49.5 (1998) |
| Budget: | revenues: 92.8 billion (2017 est.) |
| Budget: | expenditures: 189.7 billion (2017 est.) |
| Taxes and other revenues: | 44.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -46.1% (of GDP) (2017 est.) |
| Public debt: | 38.9% of GDP (2017 est.) |
| Public debt: | 31.3% of GDP (2016 est.) |
| Public debt: | note: data cover central government debt, as well as the debt of state-owned oil company PDVSA; the data include treasury debt held by foreign entities; the data include some debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; some debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1,087.5% (2017 est.) |
| Inflation rate (consumer prices): | 254.4% (2016 est.) |
| Central bank discount rate: | 29.5% (2015) |
| Commercial bank prime lending rate: | 21.1% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 20.78% (31 December 2016 est.) |
| Stock of narrow money: | $149.8 billion (31 December 2017 est.) |
| Stock of narrow money: | $163.3 billion (31 December 2016 est.) |
| Stock of broad money: | $149.8 billion (31 December 2017 est.) |
| Stock of broad money: | $163.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $66.97 billion (31 December 2017 est.) |
| Stock of domestic credit: | $148.5 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $25.3 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.143 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $3.991 billion (31 December 2011 est.) |
| Current account balance: | $4.277 billion (2017 est.) |
| Current account balance: | -$3.87 billion (2016 est.) |
| Exports: | $32.06 billion (2017 est.) |
| Exports: | $27.2 billion (2016 est.) |
| Exports - partners: | US 34.8%, India 17.2%, China 16%, Netherlands Antilles 8.2%, Singapore 6.3%, Cuba 4.2% (2017) |
| Exports - commodities: | petroleum and petroleum products, bauxite and aluminum, minerals, chemicals, agricultural products |
| Imports: | $11 billion (2017 est.) |
| Imports: | $16.34 billion (2016 est.) |
| Imports - commodities: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, petroleum products, pharmaceuticals, chemicals, iron and steel products |
| Imports - partners: | US 24.8%, China 14.2%, Mexico 9.5% (2017) |
| Reserves of foreign exchange and gold: | $9.661 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $11 billion (31 December 2016 est.) |
| Debt - external: | $100.3 billion (31 December 2017 est.) |
| Debt - external: | $109.8 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $32.74 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $33.78 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $35.15 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $31.12 billion (31 December 2016 est.) |
| Exchange rates: | bolivars (VEB) per US dollar - |
| Exchange rates: | 3,345 (2017 est.) |
| Exchange rates: | 673.76 (2016 est.) |
| Exchange rates: | 48.07 (2015 est.) |
| Exchange rates: | 13.72 (2014 est.) |
| Exchange rates: | 6.284 (2013 est.) |
