| Economy | AZERBAIJAN |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 27.4% (2008) |
| Distribution of family income - Gini index: | 33.7 (2008) |
| Distribution of family income - Gini index: | 36.5 (2001) |
| Budget: | revenues: $10.97 billion |
| Budget: | expenditures: $11.12 billion (2016 est.) |
| Taxes and other revenues: | 29.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -0.4% of GDP (2016 est.) |
| Public debt: | 39.2% of GDP (2016 est.) |
| Public debt: | 28.3% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 12.4% (2016 est.) |
| Inflation rate (consumer prices): | 4.1% (2015 est.) |
| Central bank discount rate: | 15% (10 March 2017) |
| Central bank discount rate: | 15% (14 September 2016) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key policy rate for the National Bank of Azerbaijan |
| Commercial bank prime lending rate: | 12.56% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 13.86% (31 December 2015 est.) |
| Stock of narrow money: | $5.06 billion (31 December 2016 est.) |
| Stock of narrow money: | $4.423 billion (31 December 2015 est.) |
| Stock of broad money: | $6.521 billion (31 December 2016 est.) |
| Stock of broad money: | $5.523 billion (31 December 2015 est.) |
| Stock of domestic credit: | $13.65 billion (31 December 2016 est.) |
| Stock of domestic credit: | $14.82 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-1.363 billion (2016 est.) |
| Current account balance: | $-222.5 million (2015 est.) |
| Exports: | $13.21 billion (2016 est.) |
| Exports: | $15.59 billion (2015 est.) |
| Exports - commodities: | oil and gas roughly 90%, machinery, foodstuffs, cotton |
| Exports - partners: | Italy 19.9%, Germany 10.5%, France 8%, Indonesia 5.8%, Czech Republic 5.2% (2016) |
| Imports: | $9.004 billion (2016 est.) |
| Imports: | $9.774 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, metals, chemicals |
| Imports - partners: | Russia 15.7%, Turkey 12.5%, US 9.6%, Germany 7.5%, Italy 6.7%, Japan 6.2%, China 5.4%, UK 5.4% (2016) |
| Reserves of foreign exchange and gold: | $7.142 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $7.91 billion (31 December 2015 est.) |
| Debt - external: | $13.83 billion (31 December 2016 est.) |
| Debt - external: | $13.22 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $73.83 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $66.5 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $17.05 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $14.48 billion (31 December 2015 est.) |
| Exchange rates: | Azerbaijani manats (AZN) per US dollar - |
| Exchange rates: | 1.5957 (2016 est.) |
| Exchange rates: | 1.5957 (2015 est.) |
| Exchange rates: | 1.0246 (2014 est.) |
| Exchange rates: | 0.7844 (2013 est.) |
| Exchange rates: | 0.79 (2012 est.) |
