| Economy | Azerbaijan |
| GDP - composition, by end use: | household consumption: 57.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 11.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.5% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 48.7% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -42% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 53.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 40.4% (2017 est.) |
| Agriculture - products: | fruit, vegetables, grain, rice, grapes, tea, cotton, tobacco; cattle, pigs, sheep, goats |
| Industries: | petroleum and petroleum products, natural gas, oilfield equipment; steel, iron ore; cement; chemicals and petrochemicals; textiles |
| Industrial production growth rate: | -3.8% (2017 est.) |
| Labor force: | 5.118 million (2017 est.) |
| Labor force - by occupation: | agriculture: 37% |
| Labor force - by occupation: | industry: 14.3% |
| Labor force - by occupation: | services: 48.9% (2014) |
| Unemployment rate: | 5% (2017 est.) |
| Unemployment rate: | 5% (2016 est.) |
| Population below poverty line: | 4.9% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 27.4% (2008) |
| Distribution of family income - Gini index: | 33.7 (2008) |
| Distribution of family income - Gini index: | 36.5 (2001) |
| Budget: | revenues: 9.556 billion (2017 est.) |
| Budget: | expenditures: 10.22 billion (2017 est.) |
| Taxes and other revenues: | 23.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.6% (of GDP) (2017 est.) |
| Public debt: | 54.1% of GDP (2017 est.) |
| Public debt: | 50.7% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 13% (2017 est.) |
| Inflation rate (consumer prices): | 12.6% (2016 est.) |
| Central bank discount rate: | 15% (10 March 2017) |
| Central bank discount rate: | 15% (14 September 2016) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key policy rate for the National Bank of Azerbaijan |
| Commercial bank prime lending rate: | 12.7% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 12.56% (31 December 2016 est.) |
| Stock of narrow money: | $6.202 billion (31 December 2017 est.) |
| Stock of narrow money: | $5.06 billion (31 December 2016 est.) |
| Stock of broad money: | $6.202 billion (31 December 2017 est.) |
| Stock of broad money: | $5.06 billion (31 December 2016 est.) |
| Stock of domestic credit: | $13.31 billion (31 December 2017 est.) |
| Stock of domestic credit: | $13.44 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | $1.685 billion (2017 est.) |
| Current account balance: | -$1.363 billion (2016 est.) |
| Exports: | $15.15 billion (2017 est.) |
| Exports: | $13.21 billion (2016 est.) |
| Exports - partners: | Italy 23.2%, Turkey 13.6%, Israel 6.1%, Russia 5.4%, Germany 5%, Czech Republic 4.6%, Georgia 4.3% (2017) |
| Exports - commodities: | oil and gas roughly 90%, machinery, foodstuffs, cotton |
| Imports: | $9.037 billion (2017 est.) |
| Imports: | $9.004 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, metals, chemicals |
| Imports - partners: | Russia 17.7%, Turkey 14.8%, China 9.9%, US 8.3%, Ukraine 5.3%, Germany 5.1% (2017) |
| Reserves of foreign exchange and gold: | $6.681 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $7.142 billion (31 December 2016 est.) |
| Debt - external: | $17.41 billion (31 December 2017 est.) |
| Debt - external: | $13.83 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $79.53 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $73.83 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $19.6 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $17.05 billion (31 December 2016 est.) |
| Exchange rates: | Azerbaijani manats (AZN) per US dollar - |
| Exchange rates: | 1.723 (2017 est.) |
| Exchange rates: | 1.5957 (2016 est.) |
| Exchange rates: | 1.5957 (2015 est.) |
| Exchange rates: | 1.0246 (2014 est.) |
| Exchange rates: | 0.7844 (2013 est.) |
