| Economy | ESTONIA |
| Stock of narrow money: | $10.96 billion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $14.66 billion (31 December 2016 est.) |
| Stock of broad money: | $13.83 billion (31 December 2015 est.) |
| Stock of domestic credit: | $20.97 billion (31 December 2016 est.) |
| Stock of domestic credit: | $19.88 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $6.76 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $6.799 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $7.127 billion (31 December 2014 est.) |
| Current account balance: | $443 million (2016 est.) |
| Current account balance: | $493.2 million (2015 est.) |
| Exports: | $12.36 billion (2016 est.) |
| Exports: | $12.04 billion (2015 est.) |
| Exports - commodities: | machinery and electrical equipment 30%, food products and beverages 9%, mineral fuels 6%, wood and wood products 14%, articles of base metals 7%, furniture and bedding 11%, vehicles and parts 3%, chemicals 4% (2016 est.) |
| Exports - partners: | Sweden 17.9%, Finland 16%, Latvia 9.2%, Russia 6.5%, Lithuania 6%, Germany 5.9%, Norway 4.1% (2016) |
| Imports: | $13.31 billion (2016 est.) |
| Imports: | $12.99 billion (2015 est.) |
| Imports - commodities: | machinery and electrical equipment 28%, mineral fuels 11%, food and food products 10%, vehicles 9%, chemical products 8%, metals 8% (2015 est.) |
| Imports - partners: | Finland 13%, Germany 11%, Lithuania 9%, Sweden 8.3%, Latvia 8.2%, Poland 7.2%, Netherlands 6.3%, Russia 5.7%, China 4.8% (2016) |
| Reserves of foreign exchange and gold: | $352.2 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $414.8 million (31 December 2015 est.) |
| Debt - external: | $19.05 billion (31 December 2016 est.) |
| Debt - external: | $18.3 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $22.19 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $22.02 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $9.396 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $9.164 billion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
