| Economy | Estonia |
| Current account balance: | -$352.3 million (2013 est.) |
| Current account balance: | -$267.7 million (2012 est.) |
| Exports: | $15.11 billion (2013 est.) |
| Exports: | $14.46 billion (2012 est.) |
| Exports - commodities: | machinery and electrical equipment 21%, wood and wood products 9%, metals 9%, furniture 7%, vehicles and parts 5%, food products and beverages 4%, textiles 4%, plastics 3% |
| Exports - partners: | Sweden 16.8%, Finland 15.3%, Russia 12.7%, Latvia 9.2%, Lithuania 5.7%, Germany 4.8% (2012) |
| Imports: | $16.38 billion (2013 est.) |
| Imports: | $15.6 billion (2012 est.) |
| Imports - commodities: | machinery and electrical equipment, mineral fuels, chemical products, foodstuffs, plastics, textiles |
| Imports - partners: | Finland 15.1%, Germany 10.7%, Sweden 10.7%, Latvia 10%, Lithuania 9%, Poland 6.6%, China 4.4%, Russia 4.1% (2012) |
| Reserves of foreign exchange and gold: | $372.3 million (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $300.7 million (31 December 2012 est.) |
| Debt - external: | $26.74 billion (31 December 2013 est.) |
| Debt - external: | $25.69 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $21.73 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $20.87 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $7.34 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $7.84 billion (31 December 2012 est.) |
| Exchange rates: | kroon (EEK) per US dollar - |
| Exchange rates: | 0.7697 (2013 est.) |
| Exchange rates: | 0.7778 (2012 est.) |
| Exchange rates: | 11.81 (2010 est.) |
| Exchange rates: | 11.23 (2009) |
| Exchange rates: | 10.7 (2008) |
