| Economy | Estonia |
| Agriculture - products: | grain, potatoes, vegetables; livestock and dairy products; fish |
| Industries: | food, engineering, electronics, wood and wood products, textiles; information technology, telecommunications |
| Industrial production growth rate: | 9.5% (2017 est.) |
| Labor force: | 670,200 (2017 est.) |
| Labor force - by occupation: | agriculture: 2.7% |
| Labor force - by occupation: | industry: 20.5% |
| Labor force - by occupation: | services: 76.8% (2017 est.) |
| Unemployment rate: | 5.8% (2017 est.) |
| Unemployment rate: | 6.8% (2016 est.) |
| Population below poverty line: | 21.1% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 25.6% (2015) |
| Distribution of family income - Gini index: | 34.8 (2015) |
| Distribution of family income - Gini index: | 35.6 (2014) |
| Budget: | revenues: 10.37 billion (2017 est.) |
| Budget: | expenditures: 10.44 billion (2017 est.) |
| Taxes and other revenues: | 39.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.3% (of GDP) (2017 est.) |
| Public debt: | 9% of GDP (2017 est.) |
| Public debt: | 9.4% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities, including sub-sectors of central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.7% (2017 est.) |
| Inflation rate (consumer prices): | 0.8% (2016 est.) |
| Central bank discount rate: | 0% (31 December 2017 est.) |
| Central bank discount rate: | 0% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.2% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 4.23% (31 December 2016 est.) |
| Stock of narrow money: | $14.78 billion (31 December 2017 est.) |
| Stock of narrow money: | $11.8 billion (31 December 2016 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $14.78 billion (31 December 2017 est.) |
| Stock of broad money: | $11.8 billion (31 December 2016 est.) |
| Stock of domestic credit: | $24.25 billion (31 December 2017 est.) |
| Stock of domestic credit: | $20.97 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $3.102 billion (31 December 2017 est.) |
| Market value of publicly traded shares: | $2.407 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $2.045 billion (31 December 2015 est.) |
| Current account balance: | $809 million (2017 est.) |
| Current account balance: | $443 million (2016 est.) |
| Exports: | $13.44 billion (2017 est.) |
| Exports: | $12.36 billion (2016 est.) |
| Exports - partners: | Finland 16.2%, Sweden 13.5%, Latvia 9.2%, Russia 7.3%, Germany 6.9%, Lithuania 5.9% (2017) |
| Exports - commodities: | machinery and electrical equipment 30%, food products and beverages 9%, mineral fuels 6%, wood and wood products 14%, articles of base metals 7%, furniture and bedding 11%, vehicles and parts 3%, chemicals 4% (2016 est.) |
| Imports: | $14.42 billion (2017 est.) |
| Imports: | $13.23 billion (2016 est.) |
| Imports - commodities: | machinery and electrical equipment 28%, mineral fuels 11%, food and food products 10%, vehicles 9%, chemical products 8%, metals 8% (2015 est.) |
| Imports - partners: | Finland 14%, Germany 10.7%, Lithuania 8.9%, Sweden 8.5%, Latvia 8.2%, Poland 7.2%, Russia 6.7%, Netherlands 5.9%, China 4.7% (2017) |
| Reserves of foreign exchange and gold: | $345 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $352.2 million (31 December 2016 est.) |
| Debt - external: | $19.05 billion (31 December 2016 est.) |
| Debt - external: | $18.3 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $27.05 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $22.19 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $10.96 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $9.396 billion (31 December 2016 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.92 (2017 est.) |
| Exchange rates: | 0.9 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
