| Economy | ESTONIA |
| Inflation rate (consumer prices): | -0.1% (2014 est.) |
| Inflation rate (consumer prices): | 2.8% (2013 est.) |
| Commercial bank prime lending rate: | 5.1% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 5.37% (31 December 2013 est.) |
| Stock of narrow money: | $10.8 billion (31 December 2014 est.) |
| Stock of narrow money: | $9.741 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $14.71 billion (31 December 2014 est.) |
| Stock of broad money: | $14.05 billion (31 December 2013 est.) |
| Stock of domestic credit: | $21.54 billion (31 December 2014 est.) |
| Stock of domestic credit: | $21.24 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $2.332 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.611 billion (31 December 2011) |
| Market value of publicly traded shares: | $2.26 billion (31 December 2010 est.) |
| Current account balance: | -$14 million (2014 est.) |
| Current account balance: | -$271 million (2013 est.) |
| Exports: | $15.82 billion (2014 est.) |
| Exports: | $15.22 billion (2013 est.) |
| Exports - commodities: | machinery and electrical equipment 29%, food products and beverages 16%, mineral fuels 11%, wood and wood products 9%, metals 7%, furniture 7%, vehicles and parts 5%, textiles 4%, chemicals 5% (2014 est.) |
| Exports - partners: | Sweden 17.4%, Finland 16.6%, Russia 11.7%, Latvia 10.7%, Lithuania 6%, Germany 4.7% (2013) |
| Imports: | $17.05 billion (2014 est.) |
| Imports: | $16.52 billion (2013 est.) |
| Imports - commodities: | machinery and electrical equipment 28 %, mineral fuels 13%, food and food products 10%, chemical products 8%, metals 8%, plastics 5% (2014 est.) |
| Imports - partners: | Finland 15.1%, Germany 10.8%, Sweden 10.4%, Latvia 9.5%, Lithuania 8.9%, Poland 8.2%, Russia 4.7%, China 4.3%, UK 4.3% (2013) |
| Reserves of foreign exchange and gold: | $366 million (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $314.4 million (31 December 2013 est.) |
| Debt - external: | $22.79 billion (31 December 2014 est.) |
| Debt - external: | $21.33 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $25 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $24 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $9.012 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $8.762 billion (31 December 2013 est.) |
| Exchange rates: | kroon (EEK) per US dollar - |
| Exchange rates: | 0.7697 (2013 est.) |
| Exchange rates: | 0.7778 (2012 est.) |
| Exchange rates: | 0.72 (2011 est.) |
| Exchange rates: | 11.81 (2010 est.) |
