| Economy | Hong Kong |
| GDP - per capita (PPP): | $58,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 26.6% of GDP (2017 est.) |
| Gross national saving: | 25.5% of GDP (2016 est.) |
| Gross national saving: | 24.9% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 67% (2017 est.) |
| GDP - composition, by end use: | government consumption: 9.9% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 188% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -187.1% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 7.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 92.3% (2017 est.) |
| Agriculture - products: | fresh vegetables and fruit; poultry, pork; fish |
| Industries: | trading and logistics, financial services, professional services, tourism, cultural and creative, clothing and textiles, shipping, electronics, toys, clocks and watches |
| Industrial production growth rate: | 1.7% (2017 est.) |
| Labor force: | 3.965 million (2017 est.) |
| Labor force - by occupation: | agriculture: 3.8% (2013 est.) |
| Labor force - by occupation: | industry: 2% (2016 est.) |
| Labor force - by occupation: | services: 54.5% (2016 est.) |
| Labor force - by occupation: | industry and services: 12.5% (2013 est.) |
| Labor force - by occupation: | agriculture/fishing/forestry/mining: 10.1% (2013) |
| Labor force - by occupation: | manufacturing: 17.1% (2013 est.) |
| Labor force - by occupation: | note: above data exclude public sector |
| Unemployment rate: | 3.1% (2017 est.) |
| Unemployment rate: | 3.4% (2016 est.) |
| Population below poverty line: | 19.9% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 38.1% NA (2016) |
| Household income or consumption by percentage share: | highest 10%: NA |
| Distribution of family income - Gini index: | 53.9 (2016) |
| Distribution of family income - Gini index: | 53.7 (2011 est.) |
| Budget: | revenues: 79.34 billion (2017 est.) |
| Budget: | expenditures: 61.64 billion (2017 est.) |
| Taxes and other revenues: | 23.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 5.2% (of GDP) (2017 est.) |
| Public debt: | 0.1% of GDP (2017 est.) |
| Public debt: | 0.1% of GDP (2016 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 1.5% (2017 est.) |
| Inflation rate (consumer prices): | 2.4% (2016 est.) |
| Central bank discount rate: | 1.75% (31 December 2017) |
| Central bank discount rate: | 1% (31 December 2016) |
| Commercial bank prime lending rate: | 5% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5% (31 December 2016 est.) |
| Stock of narrow money: | $311.1 billion (31 December 2017 est.) |
| Stock of narrow money: | $285.5 billion (31 December 2016 est.) |
| Stock of broad money: | $311.1 billion (31 December 2017 est.) |
| Stock of broad money: | $285.5 billion (31 December 2016 est.) |
| Stock of domestic credit: | $825.3 billion (31 December 2017 est.) |
| Stock of domestic credit: | $676.5 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $4.359 trillion (31 December 2017 est.) |
| Market value of publicly traded shares: | $3.175 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $3.165 trillion (31 December 2015 est.) |
| Current account balance: | $14.75 billion (2017 est.) |
| Current account balance: | $12.71 billion (2016 est.) |
| Exports: | $537.8 billion (2017 est.) |
| Exports: | $460 billion (2016 est.) |
| Exports - partners: | China 54.1%, US 7.7% (2017) |
| Exports - commodities: | electrical machinery and appliances, textiles, apparel, watches and clocks, toys, "jewelry, goldsmiths' and silversmiths' wares, and other articles of precious or semi-precious materials"; Hong Kong plays an important role as entrepot to the Chinese mainland; in 2017, 58% of Hong Kongâ€™s re-exports originated in mainland China, and 54% were destined for the Chinese mainland |
| Imports: | $561.8 billion (2017 est.) |
| Imports: | $518.2 billion (2016 est.) |
| Imports - commodities: | raw materials and semi-manufactures, consumer goods, capital goods, foodstuffs, fuel (most is reexported) |
| Imports - partners: | China 44.6%, Singapore 6.4%, Japan 6.1%, South Korea 5.5%, US 5.2% (2017) |
| Reserves of foreign exchange and gold: | $431.4 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $386.2 billion (31 December 2016 est.) |
| Debt - external: | $633.6 billion (31 December 2017 est.) |
| Debt - external: | $1.349 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $2.2 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $1.616 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $2.036 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $1.538 trillion (31 December 2016 est.) |
| Exchange rates: | Hong Kong dollars (HKD) per US dollar - |
| Exchange rates: | 7.82 (2017 est.) |
| Exchange rates: | 7.76 (2016 est.) |
| Exchange rates: | 7.762 (2015 est.) |
| Exchange rates: | 7.752 (2014 est.) |
| Exchange rates: | 7.754 (2013 est.) |
