| Economy | SIERRA LEONE |
| Labor force - by occupation: | services: 33.4% (2014 est.) |
| Unemployment rate: | 9.1% (2014 est.) |
| Population below poverty line: | 70.2% (2004 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 33.6% (2003) |
| Distribution of family income - Gini index: | 34 (2011) |
| Distribution of family income - Gini index: | 62.9 (1989) |
| Budget: | revenues: $574.7 million |
| Budget: | expenditures: $877.4 million (2016 est.) |
| Taxes and other revenues: | 14.4% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -7.6% of GDP (2016 est.) |
| Public debt: | 54.9% of GDP (2016 est.) |
| Public debt: | 45.7% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 11.5% (2016 est.) |
| Inflation rate (consumer prices): | 6.7% (2015 est.) |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 18% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 18.73% (31 December 2015 est.) |
| Stock of narrow money: | $381.8 million (31 December 2016 est.) |
| Stock of narrow money: | $457.4 million (31 December 2015 est.) |
| Stock of broad money: | $847.2 million (31 December 2016 est.) |
| Stock of broad money: | $917.2 million (31 December 2015 est.) |
| Stock of domestic credit: | $527.6 million (31 December 2016 est.) |
| Stock of domestic credit: | $569.4 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-733 million (2016 est.) |
| Current account balance: | $-744.8 million (2015 est.) |
| Exports: | $670 million (2016 est.) |
| Exports: | $581 million (2015 est.) |
| Exports - commodities: | iron ore, diamonds, rutile, cocoa, coffee, fish |
| Exports - partners: | Cote dIvoire 31.7%, US 28.3%, Belgium 17.7%, China 6.6% (2016) |
| Imports: | $1.316 billion (2016 est.) |
| Imports: | $1.347 billion (2015 est.) |
| Imports - commodities: | foodstuffs, machinery and equipment, fuels and lubricants, chemicals |
| Imports - partners: | China 12.5%, US 9.7%, India 7.8%, UAE 7.2%, Senegal 6.2%, Belgium 5.5%, Turkey 5.5%, UK 4.7% (2016) |
| Debt - external: | $1.503 billion (31 December 2016 est.) |
| Debt - external: | $1.378 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $1.832 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $1.499 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $9.7 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $6.7 million (31 December 2014 est.) |
| Exchange rates: | leones (SLL) per US dollar - |
| Exchange rates: | 6,289.9 (2016 est.) |
| Exchange rates: | 6,289.9 (2015 est.) |
| Exchange rates: | 5,080.8 (2014 est.) |
| Exchange rates: | 4,524.2 (2013 est.) |
| Exchange rates: | 4,344 (2012 est.) |
