| Economy | Sierra Leone |
| Labor force: | 2.972 million (2017 est.) |
| Labor force - by occupation: | agriculture: 61.1% |
| Labor force - by occupation: | industry: 5.5% |
| Labor force - by occupation: | services: 33.4% (2014 est.) |
| Unemployment rate: | 15% (2017 est.) |
| Unemployment rate: | 17.2% (2016 est.) |
| Population below poverty line: | 70.2% (2004 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 33.6% (2003) |
| Distribution of family income - Gini index: | 34 (2011) |
| Distribution of family income - Gini index: | 62.9 (1989) |
| Budget: | revenues: 562 million (2017 est.) |
| Budget: | expenditures: 846.4 million (2017 est.) |
| Taxes and other revenues: | 15.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -7.9% (of GDP) (2017 est.) |
| Public debt: | 63.9% of GDP (2017 est.) |
| Public debt: | 54.9% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 18.2% (2017 est.) |
| Inflation rate (consumer prices): | 10.9% (2016 est.) |
| Central bank discount rate: | NA |
| Commercial bank prime lending rate: | 17.92% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 18.04% (31 December 2016 est.) |
| Stock of narrow money: | $387.4 million (31 December 2017 est.) |
| Stock of narrow money: | $381.8 million (31 December 2016 est.) |
| Stock of broad money: | $387.4 million (31 December 2017 est.) |
| Stock of broad money: | $381.8 million (31 December 2016 est.) |
| Stock of domestic credit: | $572.6 million (31 December 2017 est.) |
| Stock of domestic credit: | $527.6 million (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$407 million (2017 est.) |
| Current account balance: | -$88 million (2016 est.) |
| Exports: | $808.4 million (2017 est.) |
| Exports: | $670 million (2016 est.) |
| Exports - partners: | Cote dIvoire 37.7%, Belgium 20.5%, US 15.7%, China 10.2%, Netherlands 6.1% (2017) |
| Exports - commodities: | iron ore, diamonds, rutile, cocoa, coffee, fish |
| Imports: | $1.107 billion (2017 est.) |
| Imports: | $972.8 million (2016 est.) |
| Imports - commodities: | foodstuffs, machinery and equipment, fuels and lubricants, chemicals |
| Imports - partners: | China 11.5%, US 9.2%, Belgium 8.8%, UAE 7.7%, India 7.4%, Turkey 5.2%, Senegal 5.1%, Netherlands 4.3% (2017) |
| Reserves of foreign exchange and gold: | $478 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $497.2 million (31 December 2016 est.) |
| Debt - external: | $1.615 billion (31 December 2017 est.) |
| Debt - external: | $1.503 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $1.042 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $1.832 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $56.8 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $6.7 million (31 December 2014 est.) |
| Exchange rates: | leones (SLL) per US dollar - |
| Exchange rates: | 7,396.3 (2017 est.) |
| Exchange rates: | 6,289.9 (2016 est.) |
| Exchange rates: | 6,289.9 (2015 est.) |
| Exchange rates: | 5,080.8 (2014 est.) |
| Exchange rates: | 4,524.2 (2013 est.) |
