| Economy | SAO TOME AND PRINCIPE |
| Imports - partners: | Portugal 58.8%, Angola 15.2%, China 5.3% (2016) |
| Reserves of foreign exchange and gold: | $61.5 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $72.86 million (31 December 2015 est.) |
| Debt - external: | $308.5 million (31 December 2016 est.) |
| Debt - external: | $249.4 million (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $430.3 million (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $409.5 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $2.2 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $2.5 million (31 December 2015 est.) |
| Exchange rates: | dobras (STD) per US dollar - |
| Exchange rates: | 22,149 (2016 est.) |
| Exchange rates: | 22,149 (2015 est.) |
| Exchange rates: | 22,091 (2014 est.) |
| Exchange rates: | 18,466 (2013 est.) |
| Exchange rates: | 19,068 (2012 est.) |
