| Economy | CYPRUS |
| GDP (purchasing power parity): | GDP (purchasing power parity): $1.829 billion (2007 est.) |
| GDP (official exchange rate): | $19.33 billion (2015 est.) |
| GDP - real growth rate: | 1.6% (2015 est.) |
| GDP - real growth rate: | -2.5% (2014 est.) |
| GDP - real growth rate: | -5.9% (2013 est.) |
| GDP - real growth rate: | GDP - real growth rate: 2.3% (2014 est.) |
| GDP - per capita (PPP): | $32,800 (2015 est.) |
| GDP - per capita (PPP): | $32,600 (2014 est.) |
| GDP - per capita (PPP): | $33,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 11.7% of GDP (2015 est.) |
| Gross national saving: | 8.6% of GDP (2014 est.) |
| Gross national saving: | 8.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 70.2% |
| GDP - composition, by end use: | government consumption: 15.8% |
| GDP - composition, by end use: | investment in fixed capital: 13.4% |
| GDP - composition, by end use: | investment in inventories: 2% |
| GDP - composition, by end use: | exports of goods and services: 59.9% |
| GDP - composition, by end use: | imports of goods and services: -61.3% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.4% |
| GDP - composition, by sector of origin: | industry: 10.5% |
| GDP - composition, by sector of origin: | services: 87.1% (2015 est.) |
| Agriculture - products: | citrus, vegetables, barley, grapes, olives, vegetables; poultry, pork, lamb; dairy, cheese |
| Agriculture - products: | Agriculture - products: citrus fruit, dairy, potatoes, grapes, olives, poultry, lamb |
| Industries: | tourism, food and beverage processing, cement and gypsum, ship repair and refurbishment, textiles, light chemicals, metal products, wood, paper, stone and clay products |
| Industries: | Industries: foodstuffs, textiles, clothing, ship repair, clay, gypsum, copper, furniture |
| Industrial production growth rate: | -0.2% (2015 est.) |
| Industrial production growth rate: | Industrial production growth rate: -0.3% (2007 est.) |
| Labor force: | 424,400 (2015 est.) |
| Labor force: | Labor force: 95,030 (2007 est.) |
| Labor force - by occupation: | agriculture: 3.8% |
| Labor force - by occupation: | industry: 15.2% |
| Labor force - by occupation: | services: 81% (2014 est.) |
| Labor force - by occupation: | Labor force - by occupation: agriculture: 14.5%, industry: 29%, services: 56.5% (2004) |
| Unemployment rate: | 14.9% (2015 est.) |
| Unemployment rate: | 16.2% (2014 est.) |
| Unemployment rate: | Unemployment rate: 9.4% (2005 est.) |
| Population below poverty line: | NA% |
| Population below poverty line: | Population below poverty line: %NA |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 28.8% (2014) |
| Distribution of family income - Gini index: | 34.8 (2014 est.) |
| Distribution of family income - Gini index: | 32.4 (2013 est.) |
| Budget: | revenues:: $7.547 billion |
| Budget: | expenditures:: $7.747 billion (2015 est.) |
| Budget: | Budget: revenues: $2.5 billion, expenditures: $2.5 billion (2006) |
| Taxes and other revenues: | 39% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1% of GDP (2015 est.) |
| Public debt: | 108.9% of GDP (2015 est.) |
| Public debt: | 108.2% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -2.1% (2015 est.) |
| Inflation rate (consumer prices): | -1.4% (2014 est.) |
| Central bank discount rate: | 0.05% (31 December 2013) |
| Central bank discount rate: | 0.3% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 4.69% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 5.88% (31 December 2014 est.) |
| Stock of narrow money: | $4.031 billion (31 December 2015 est.) |
| Stock of narrow money: | $4.343 billion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $43.41 billion (31 December 2014 est.) |
| Stock of broad money: | $47.99 billion (31 December 2013 est.) |
| Stock of domestic credit: | $59.58 billion (31 December 2015 est.) |
| Stock of domestic credit: | $65.42 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.996 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $2.853 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $6.834 billion (31 December 2013 est.) |
| Current account balance: | -$992 million (2015 est.) |
| Current account balance: | -$1.052 billion (2014 est.) |
| Exports: | $2.759 billion (2015 est.) |
| Exports: | $3.751 billion (2014 est.) |
| Exports: | Exports: $68.1 million, f.o.b. (2007 est.) |
| Exports - commodities: | citrus, potatoes, pharmaceuticals, cement, clothing |
| Exports - partners: | Greece 10.9%, Ireland 10.2%, UK 7.2%, Israel 6% (2015) |
| Imports: | $6.286 billion (2015 est.) |
| Imports: | $7.473 billion (2014 est.) |
| Imports: | Imports: $1.2 billion, f.o.b. (2007 est.) |
| Imports - commodities: | consumer goods, petroleum and lubricants, machinery, transport equipment |
| Imports - partners: | Greece 25.7%, UK 9.1%, Italy 8%, Germany 7.5%, Israel 5.5%, China 4.8%, Netherlands 4.1% (2015) |
| Reserves of foreign exchange and gold: | $807.6 million (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $890.9 million (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | Reserves of foreign exchange and gold: $NA |
| Debt - external: | $95.28 billion (31 December 2013 est.) |
| Debt - external: | $103.5 billion (31 December 2012 est.) |
| Debt - external: | Debt - external: $NA |
| Stock of direct foreign investment - at home: | $140.4 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $151 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $135.2 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $140.8 billion (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | Exchange rates: Turkish new lira per US dollar: 1.9 (2013) 1.8 (2012) 1.668 (2011) 1.5026 (2010) 1.55 (2009) |
| Economy of the area administered by Turkish Cypriots: | Economy - overview: Even though the whole of the island is part of the EU, implementation of the EU "acquis communautaire" has been suspended in the area administered by Turkish Cypriots, known locally as the "Turkish Republic of Northern Cyprus" ("TRNC"), until political conditions permit the reunification of the island. The market-based economy of the "TRNC" is roughly one-fifth the size of its southern neighbor and is likewise dominated by the service sector with a large portion of the population employed by the government. In 2012 - the latest year for which data are available - the services sector, which includes the public sector, trade, tourism, and education, contributed 58.7% to economic output. In the same year, light manufacturing and agriculture contributed 2.7% and 6.2%, respectively. Manufacturing is limited mainly to food and beverages, furniture and fixtures, construction materials, metal and non-metal products, textiles and clothing. The “TRNC” maintains few economic ties with the Republic of Cyprus outside of trade in construction materials. Since its creation, the "TRNC" has heavily relied on financial assistance from Turkey, which supports the "TRNC" defense, telecommunications, water and postal services. The Turkish Lira is the preferred currency, though foreign currencies are widely accepted in business transactions. The "TRNC" remains vulnerable to the Turkish market and monetary policy because of its use of the Turkish Lira. The "TRNC" weathered the European financial crisis relatively unscathed - compared to the Republic of Cyprus - because of the lack of financial sector development, the health of the Turkish economy, and its separation from the rest of the island. The "TRNC" economy experienced growth estimated at 2.8% in 2013 and 2.3% in 2014 and is projected to grow 3.8% in 2015. |
| Economy of the area administered by Turkish Cypriots: | GDP (purchasing power parity): $1.829 billion (2007 est.) |
| Economy of the area administered by Turkish Cypriots: | GDP - real growth rate: 2.3% (2014 est.) |
| Economy of the area administered by Turkish Cypriots: | 2.8% (2013 est.) |
| Economy of the area administered by Turkish Cypriots: | GDP - per capita: $11,700 (2007 est.) |
| Economy of the area administered by Turkish Cypriots: | GDP - composition by sector: agriculture: 6.2%, industry: 35.1%, services: 58.7% (2012 est.) |
| Economy of the area administered by Turkish Cypriots: | Labor force: 95,030 (2007 est.) |
| Economy of the area administered by Turkish Cypriots: | Labor force - by occupation: agriculture: 14.5%, industry: 29%, services: 56.5% (2004) |
| Economy of the area administered by Turkish Cypriots: | Unemployment rate: 9.4% (2005 est.) |
| Economy of the area administered by Turkish Cypriots: | Population below poverty line: %NA |
| Economy of the area administered by Turkish Cypriots: | Inflation rate: 11.4% (2006) |
| Economy of the area administered by Turkish Cypriots: | Budget: revenues: $2.5 billion, expenditures: $2.5 billion (2006) |
| Economy of the area administered by Turkish Cypriots: | Agriculture - products: citrus fruit, dairy, potatoes, grapes, olives, poultry, lamb |
| Economy of the area administered by Turkish Cypriots: | Industries: foodstuffs, textiles, clothing, ship repair, clay, gypsum, copper, furniture |
| Economy of the area administered by Turkish Cypriots: | Industrial production growth rate: -0.3% (2007 est.) |
| Economy of the area administered by Turkish Cypriots: | Electricity production: 998.9 million kWh (2005) |
| Economy of the area administered by Turkish Cypriots: | Electricity consumption: 797.9 million kWh (2005) |
| Economy of the area administered by Turkish Cypriots: | Exports: $68.1 million, f.o.b. (2007 est.) |
| Economy of the area administered by Turkish Cypriots: | Export - commodities: citrus, dairy, potatoes, textiles |
| Economy of the area administered by Turkish Cypriots: | Export - partners: Turkey 40%; direct trade between the area administered by Turkish Cypriots and the area under government control remains limited |
| Economy of the area administered by Turkish Cypriots: | Imports: $1.2 billion, f.o.b. (2007 est.) |
| Economy of the area administered by Turkish Cypriots: | Import - commodities: vehicles, fuel, cigarettes, food, minerals, chemicals, machinery |
| Economy of the area administered by Turkish Cypriots: | Import - partners: Turkey 60%; direct trade between the area administered by Turkish Cypriots and the area under government control remains limited |
| Economy of the area administered by Turkish Cypriots: | Reserves of foreign exchange and gold: $NA |
| Economy of the area administered by Turkish Cypriots: | Debt - external: $NA |
| Economy of the area administered by Turkish Cypriots: | Currency (code): Turkish new lira (YTL) |
| Economy of the area administered by Turkish Cypriots: | Exchange rates: Turkish new lira per US dollar: 1.9 (2013) 1.8 (2012) 1.668 (2011) 1.5026 (2010) 1.55 (2009) |
