| Economy | WORLD |
| Economy - overview: | Despite these vexing problems, the world economy also shows great promise. Technology has made possible further advances in a wide range of fields, from agriculture, to medicine, alternative energy, metallurgy, and transportation. Improved global communications have greatly reduced the costs of international trade, helping the world gain from the international division of labor, raise living standards, and reduce income disparities among nations. Much of the resilience of the world economy in the aftermath of the financial crisis resulted from government and central bank leaders around the globe working in concert to stem the financial onslaught, knowing well the lessons of past economic failures. |
| GDP (purchasing power parity): | $107.5 trillion (2014 est.) |
| GDP (purchasing power parity): | $104.1 trillion (2013 est.) |
| GDP (purchasing power parity): | $100.8 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | GWP (gross world product): $78.28 trillion (2014 est.) |
| GDP - real growth rate: | 3.3% (2014 est.) |
| GDP - real growth rate: | 3.2% (2013 est.) |
| GDP - real growth rate: | 3.1% (2012 est.) |
| GDP - per capita (PPP): | $16,100 (2014 est.) |
| GDP - per capita (PPP): | $15,800 (2013 est.) |
| GDP - per capita (PPP): | $15,500 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| GDP - composition, by end use: | household consumption: 62% |
| GDP - composition, by end use: | government consumption: 18.5% |
| GDP - composition, by end use: | investment in fixed capital: 19.4% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 29.3% |
| GDP - composition, by end use: | imports of goods and services: -29.7% |
| GDP - composition, by end use: | (2011 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.6% |
| GDP - composition, by sector of origin: | industry: 31% |
| GDP - composition, by sector of origin: | services: 62.5% (2014 est.) |
| Industries: | dominated by the onrush of technology, especially in computers, robotics, telecommunications, and medicines and medical equipment; most of these advances take place in OECD nations; only a small portion of non-OECD countries have succeeded in rapidly adjusting to these technological forces; the accelerated development of new technologies is complicating already grim environmental problems |
| Industrial production growth rate: | 3.6% (2014 est.) |
| Labor force: | 3.36 billion (2014 est.) |
| Labor force - by occupation: | agriculture: 34.7% |
| Labor force - by occupation: | industry: 22.4% |
| Labor force - by occupation: | services: 42.9% (2009 est.) |
| Unemployment rate: | 8.3% (2014 est.) |
| Unemployment rate: | 7.7% (2013 est.) |
| Unemployment rate: | note: 30% combined unemployment and underemployment in many non-industrialized countries; developed countries typically 4%-12% unemployment (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 28.2% (2007.75 est.) |
| Distribution of family income - Gini index: | 38 (2009 est.) |
| Distribution of family income - Gini index: | 37.3 (1999 est.) |
| Budget: | revenues: $21.88 trillion |
| Budget: | expenditures: $23.83 trillion (2014 est.) |
| Taxes and other revenues: | 28% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.5% of GDP (2014 est.) |
| Public debt: | 57.7% of GDP (2014 est.) |
| Public debt: | 57.7% of GDP (2013 est.) |
| Inflation rate (consumer prices): | world average 4% (2014 est.) |
| Inflation rate (consumer prices): | developed countries 1.4% (2014 est.) |
| Inflation rate (consumer prices): | developing countries 5.4% (2014 est.) |
| Inflation rate (consumer prices): | note: the above estimates are weighted averages; inflation in developed countries is 0% to 4% typically, in developing countries, 5% to 10% typically; national inflation rates vary widely in individual cases; inflation rates have declined for most countries for the last several years, held in check by increasing international competition from several low wage countries and by soft demand due to the world financial crisis (2013 est.) |
| Stock of narrow money: | $28.6 trillion (31 December 2014 est.) |
| Stock of narrow money: | $28.25 trillion (31 December 2013 est.) |
| Stock of broad money: | $80.45 trillion (31 December 2014 est.) |
| Stock of broad money: | $76.76 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $90.65 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $91.08 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $59.86 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $54.36 trillion (31 December 2011) |
| Market value of publicly traded shares: | $56.6 trillion (31 December 2010 est.) |
| Exports: | $19.08 trillion (2014 est.) |
| Exports: | $18.72 trillion (2013 est.) |
| Exports - commodities: | the whole range of industrial and agricultural goods and services |
| Exports - commodities: | top ten - share of world trade: electrical machinery, including computers 14.8%; mineral fuels, including oil, coal, gas, and refined products 14.4%; nuclear reactors, boilers, and parts 14.2%; cars, trucks, and buses 8.9%; scientific and precision instruments 3.5%; plastics 3.4%; iron and steel 2.7%; organic chemicals 2.6%; pharmaceutical products 2.6%; diamonds, pearls, and precious stones 1.9% (2007 est.) |
| Imports: | $18.86 trillion (2014 est.) |
| Imports: | $18.64 trillion (2013 est.) |
| Imports - commodities: | the whole range of industrial and agricultural goods and services |
| Imports - commodities: | top ten - share of world trade: see listing for exports |
| Debt - external: | $72.87 trillion (31 December 2014 est.) |
| Debt - external: | $68.82 trillion (31 December 2013 est.) |
| Debt - external: | note: this figure is the sum total of all countries' external debt, both public and private |
| Stock of direct foreign investment - at home: | $26.25 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $24.37 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $27.45 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $25.92 trillion (31 December 2013 est.) |
