| Economy | KOSOVO |
| GDP - real growth rate: | 3.3% (2015 est.) |
| GDP - real growth rate: | 1.2% (2014 est.) |
| GDP - real growth rate: | 3.4% (2013 est.) |
| GDP - per capita (PPP): | NA (2015 est.) |
| GDP - per capita (PPP): | NA (2014 est.) |
| GDP - per capita (PPP): | NA (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 12.5% of GDP (2015 est.) |
| Gross national saving: | 12.7% of GDP (2014 est.) |
| Gross national saving: | 12.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 90.5% |
| GDP - composition, by end use: | government consumption: 16% |
| GDP - composition, by end use: | investment in fixed capital: 28.2% |
| GDP - composition, by end use: | investment in inventories: 3% |
| GDP - composition, by end use: | exports of goods and services: 5.8% |
| GDP - composition, by end use: | imports of goods and services: -43.5% (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 12.9% |
| GDP - composition, by sector of origin: | industry: 22.6% |
| GDP - composition, by sector of origin: | services: 64.5% (2009 est.) |
| Agriculture - products: | wheat, corn, berries, potatoes, peppers, fruit; dairy, livestock; fish |
| Industries: | mineral mining, construction materials, base metals, leather, machinery, appliances, foodstuffs and beverages, textiles |
| Labor force: | 483,200 |
| Labor force: | note: includes those estimated to be employed in the grey economy (2013 est.) |
| Labor force - by occupation: | agriculture: 5.9% |
| Labor force - by occupation: | industry: 16.8% |
| Labor force - by occupation: | services: 77.3% (2013) |
| Unemployment rate: | 35.3% (2014 est.) |
| Unemployment rate: | 30.9% (2013 est.) |
| Unemployment rate: | note: Kosovo has a large informal sector that may not be reflected in these data |
| Population below poverty line: | 30% (2013 est.) |
| Distribution of family income - Gini index: | 30 (FY05/06) |
| Budget: | revenues: $1.396 billion |
| Budget: | expenditures: $1.61 billion (2014 est.) |
| Taxes and other revenues: | 22% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -3.4% of GDP (2014 est.) |
| Public debt: | 10.6% of GDP (2014 est.) |
| Public debt: | 9.1% of GDP (2013) |
| Inflation rate (consumer prices): | -0.5% (2015 est.) |
| Inflation rate (consumer prices): | 0.4% (2014 est.) |
| Commercial bank prime lending rate: | 12.8% (30 June 2013 est.) |
| Commercial bank prime lending rate: | 13.7% (31 December 2012 est.) |
| Stock of broad money: | $2.511 billion (2014 est.) |
| Stock of broad money: | $2.773 billion (2012 est.) |
| Stock of domestic credit: | $2.02 billion (2014 est.) |
| Stock of domestic credit: | $2.505 billion (2013 est.) |
| Current account balance: | -$512 million (2015 est.) |
| Current account balance: | -$582 million (2014 est.) |
| Exports: | $349 million (2014 est.) |
| Exports: | $408 million (2013 est.) |
| Exports - commodities: | mining and processed metal products, scrap metals, leather products, machinery, appliances, prepared foodstuffs, beverages and tobacco, vegetable products, textiles and apparel |
| Exports - partners: | Italy 25.8%, Albania 14.6%, Macedonia 9.6%, China 5.5%, Germany 5.4%, Switzerland 5.4%, Turkey 4.1% (2012 est.) |
| Imports: | $2.687 billion (2014 est.) |
| Imports: | $3.398 billion (2013 est.) |
| Imports - commodities: | foodstuffs, livestock, wood, petroleum, chemicals, machinery, minerals, textiles, stone, ceramic and glass products, electrical equipment |
| Imports - partners: | Germany 11.9%, Macedonia 11.5%, Serbia 11.1%, Italy 8.5%, Turkey 9%, China 6.4%, Albania 4.4% (2012 est.) |
| Reserves of foreign exchange and gold: | $NA |
| Debt - external: | $411.6 million (2014 est.) |
| Debt - external: | $448.2 million (2013 est.) |
| Stock of direct foreign investment - at home: | $21.2 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $34.32 billion (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
