| Economy | KOSOVO |
| Taxes and other revenues: | 20.8% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -3.2% of GDP (2014 est.) |
| Public debt: | 20.6% of GDP (2016 est.) |
| Public debt: | 18.9% of GDP (2015 est.) |
| Inflation rate (consumer prices): | 0.3% (2016 est.) |
| Inflation rate (consumer prices): | -0.5% (2015 est.) |
| Commercial bank prime lending rate: | 12.8% (30 June 2013 est.) |
| Commercial bank prime lending rate: | 13.7% (31 December 2012 est.) |
| Stock of broad money: | $2.511 billion (2014 est.) |
| Stock of broad money: | $2.773 billion (2012 est.) |
| Stock of domestic credit: | $2.02 billion (2014 est.) |
| Stock of domestic credit: | $2.505 billion (2013 est.) |
| Current account balance: | $-651 million (2016 est.) |
| Current account balance: | $-548 million (2015 est.) |
| Exports: | $349 million (2014 est.) |
| Exports: | $408 million (2013 est.) |
| Exports - commodities: | mining and processed metal products, scrap metals, leather products, machinery, appliances, prepared foodstuffs, beverages and tobacco, vegetable products, textiles and apparel |
| Exports - partners: | Albania 24.2%, Macedonia, The Former Yugo Rep of 17.3%, Germany 8.8%, Switzerland 7.7%, Bulgaria 7.5%, Netherlands 6.9%, Turkey 4.6%, Austria 4.4% (2016) |
| Imports: | $2.687 billion (2014 est.) |
| Imports: | $3.398 billion (2013 est.) |
| Imports - commodities: | foodstuffs, livestock, wood, petroleum, chemicals, machinery, minerals, textiles, stone, ceramic and glass products, electrical equipment |
| Imports - partners: | Macedonia, The Former Yugo Rep of 34.1%, Turkey 12%, Germany 9.4%, Albania 7.4%, Slovenia 6.9%, Italy 4.6% (2016) |
| Reserves of foreign exchange and gold: | $NA |
| Debt - external: | $1.4 billion (2016 est.) |
| Debt - external: | $1.3 billion (2015 est.) |
| Stock of direct foreign investment - at home: | $21.2 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $36.67 billion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
