| Economy | Argentina |
| Debt - external: | $214.9 billion (31 December 2017 est.) |
| Debt - external: | $190.2 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $76.58 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $72.11 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $40.94 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $39.74 billion (31 December 2016 est.) |
| Exchange rates: | Argentine pesos (ARS) per US dollar - |
| Exchange rates: | 16.92 (2017 est.) |
| Exchange rates: | 14.76 (2016 est.) |
| Exchange rates: | 14.76 (2015 est.) |
| Exchange rates: | 9.23 (2014 est.) |
| Exchange rates: | 8.08 (2013 est.) |
