| Economy | Argentina |
| Industrial production growth rate: | note: based on private sector estimates (2013 est.) |
| Labor force: | 17.32 million |
| Labor force: | note: urban areas only (2013 est.) |
| Labor force - by occupation: | agriculture: 5% |
| Labor force - by occupation: | industry: 23% |
| Labor force - by occupation: | services: 72% (2009 est.) |
| Unemployment rate: | 7.5% (2013 est.) |
| Unemployment rate: | 7.2% (2012 est.) |
| Population below poverty line: | 30% |
| Population below poverty line: | note: data are based on private estimates (2010) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 32.3% (2010 est.) |
| Distribution of family income - Gini index: | 45.8 (2009) |
| Budget: | revenues: $129.6 billion |
| Budget: | expenditures: $145.3 billion (2013 est.) |
| Taxes and other revenues: | 26.8% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -3.2% of GDP (2013 est.) |
| Public debt: | 45.8% of GDP (2013 est.) |
| Public debt: | 44.8% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 20.8% (2013 est.) |
| Inflation rate (consumer prices): | 25.3% (2012 est.) |
| Inflation rate (consumer prices): | note: data are derived from private estimates |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 16.4% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 14.06% (31 December 2012 est.) |
| Stock of narrow money: | $70.25 billion (31 December 2013 est.) |
| Stock of narrow money: | $65.63 billion (31 December 2012 est.) |
| Stock of broad money: | $145 billion (31 December 2013 est.) |
| Stock of broad money: | $145.9 billion (31 December 2012 est.) |
| Stock of domestic credit: | $157.7 billion (31 December 2013 est.) |
| Stock of domestic credit: | NA% (31 December 2012 est.) |
| Market value of publicly traded shares: | $34.24 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $43.58 billion (31 December 2011) |
| Market value of publicly traded shares: | $63.91 billion (31 December 2010 est.) |
| Current account balance: | -$2.371 billion (2013 est.) |
| Current account balance: | $106.9 million (2012 est.) |
| Exports: | $85.08 billion (2013 est.) |
| Exports: | $80.91 billion (2012 est.) |
| Exports - commodities: | soybeans and derivatives, petroleum and gas, vehicles, corn, wheat |
| Exports - partners: | Brazil 20.4%, China 7.4%, Chile 6%, US 5.2% (2012) |
| Imports: | $71.3 billion (2013 est.) |
| Imports: | $65.55 billion (2012 est.) |
| Imports - commodities: | machinery, motor vehicles, petroleum and natural gas, organic chemicals, plastics |
| Imports - partners: | Brazil 27.2%, US 15.6%, China 11.9%, Germany 4.5% (2012) |
| Reserves of foreign exchange and gold: | $33.65 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $43.25 billion (31 December 2012 est.) |
| Debt - external: | $111.5 billion (31 December 2013 est.) |
| Debt - external: | $113.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $115.9 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $107.1 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $34.21 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $32.91 billion (31 December 2012 est.) |
| Exchange rates: | Argentine pesos (ARS) per US dollar - |
| Exchange rates: | 5.447 (2013 est.) |
| Exchange rates: | 4.5369 (2012 est.) |
| Exchange rates: | 3.8963 (2010 est.) |
| Exchange rates: | 3.7101 (2009) |
| Exchange rates: | 3.1636 (2008) |
