| Economy | EGYPT |
| Industrial production growth rate: | 1.5% (2014 est.) |
| Labor force: | 28.26 million (2014 est.) |
| Labor force - by occupation: | agriculture: 29% |
| Labor force - by occupation: | industry: 24% |
| Labor force - by occupation: | services: 47% (2011 est.) |
| Unemployment rate: | 13.4% (2014 est.) |
| Unemployment rate: | 13.2% (2013 est.) |
| Population below poverty line: | 25.2% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 26.6% (2008) |
| Distribution of family income - Gini index: | 30.8 (2008) |
| Distribution of family income - Gini index: | 32.1 (2005) |
| Budget: | revenues: $65.48 billion |
| Budget: | expenditures: $99.14 billion (2014 est.) |
| Taxes and other revenues: | 23% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -11.8% of GDP (2014 est.) |
| Public debt: | 93.8% of GDP (2014 est.) |
| Public debt: | 91.5% of GDP (2013 est.) |
| Public debt: | note: data cover central government debt and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 10.1% (2014 est.) |
| Inflation rate (consumer prices): | 9.5% (2013 est.) |
| Central bank discount rate: | 9.75% (30 October 2014) |
| Central bank discount rate: | 8.75% (5 December 2013) |
| Commercial bank prime lending rate: | 11.8% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 12.29% (31 December 2013 est.) |
| Stock of narrow money: | $60.18 billion (31 December 2014 est.) |
| Stock of narrow money: | $53.71 billion (31 December 2013 est.) |
| Stock of broad money: | $219 billion (31 December 2014 est.) |
| Stock of broad money: | $199.5 billion (31 December 2013 est.) |
| Stock of domestic credit: | $225.4 billion (31 December 2014 est.) |
| Stock of domestic credit: | $217.3 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $73.04 billion (30 November 2014 est.) |
| Market value of publicly traded shares: | $58.01 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $48.68 billion (31 December 2011 est.) |
| Current account balance: | -$2.356 billion (2014 est.) |
| Current account balance: | $6.39 billion (2013 est.) |
| Exports: | $27.15 billion (2014 est.) |
| Exports: | $27.87 billion (2013 est.) |
| Exports - commodities: | crude oil and petroleum products, fruits and vegetables, cotton, textiles, metal products, chemicals, processed food |
| Exports - partners: | Italy 9.2%, Saudi Arabia 7.4%, India 7.2%, Turkey 5.4%, US 4.2% (2014) |
| Imports: | $55.26 billion (2014 est.) |
| Imports: | $55.46 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, chemicals, wood products, fuels |
| Imports - partners: | China 11.2%, Germany 7.9%, US 7.4%, Kuwait 5.1%, Italy 4.6%, Ukraine 4.4%, Russia 4.2%, Turkey 4.1% (2014) |
| Reserves of foreign exchange and gold: | $15.13 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $16.12 billion (31 December 2013 est.) |
| Debt - external: | $55.86 billion (31 December 2014 est.) |
| Debt - external: | $49.28 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $79.19 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $76.76 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $6.684 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $6.475 billion (31 December 2013 est.) |
| Exchange rates: | Egyptian pounds (EGP) per US dollar - |
| Exchange rates: | 7.1 (2014 est.) |
| Exchange rates: | 6.8708 (2013 est.) |
| Exchange rates: | 6.06 (2012 est.) |
| Exchange rates: | 5.9358 (2011 est.) |
| Exchange rates: | 5.6219 (2010 est.) |
