| Economy | YEMEN |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | -4.1% of GDP (2016 est.) |
| Gross national saving: | -3.7% of GDP (2015 est.) |
| Gross national saving: | 6.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 115.2% |
| GDP - composition, by end use: | government consumption: 9.8% |
| GDP - composition, by end use: | investment in fixed capital: 1.1% |
| GDP - composition, by end use: | investment in inventories: -7% |
| GDP - composition, by end use: | exports of goods and services: 1.3% |
| GDP - composition, by end use: | imports of goods and services: -20.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 21.8% |
| GDP - composition, by sector of origin: | industry: 9.8% |
| GDP - composition, by sector of origin: | services: 68.4% (2016 est.) |
| Agriculture - products: | grain, fruits, vegetables, pulses, qat, coffee, cotton; dairy products, livestock (sheep, goats, cattle, camels), poultry; fish |
| Industries: | crude oil production and petroleum refining; small-scale production of cotton textiles, leather goods; food processing; handicrafts; aluminum products; cement; commercial ship repair; natural gas production |
| Industrial production growth rate: | -48.8% (2016 est.) |
| Labor force: | 7.418 million (2016 est.) |
| Labor force - by occupation: | note: most people are employed in agriculture and herding; services, construction, industry, and commerce account for less than one-fourth of the labor force |
| Unemployment rate: | 27% (2014 est.) |
| Unemployment rate: | 35% (2003 est.) |
| Population below poverty line: | 54% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 30.3% (2008 est.) |
| Distribution of family income - Gini index: | 37.9 (2009 est.) |
| Distribution of family income - Gini index: | 37.3 (1999 est.) |
| Budget: | revenues: $1.684 billion |
| Budget: | expenditures: $4.917 billion (2016 est.) |
| Taxes and other revenues: | 6.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -11.8% of GDP (2016 est.) |
| Public debt: | 119.1% of GDP (2016 est.) |
| Public debt: | 85.2% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5% (2016 est.) |
| Inflation rate (consumer prices): | 29.6% (2015 est.) |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 27% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 25% (31 December 2015 est.) |
| Stock of narrow money: | $6.718 billion (31 December 2016 est.) |
| Stock of narrow money: | $6.202 billion (31 December 2015 est.) |
| Stock of broad money: | $11.95 billion (31 December 2016 est.) |
| Stock of broad money: | $14.9 billion (31 December 2015 est.) |
| Stock of domestic credit: | $4.515 billion (31 December 2016 est.) |
| Stock of domestic credit: | $9.727 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-1.532 billion (2016 est.) |
| Current account balance: | $-3.026 billion (2015 est.) |
| Exports: | $163.6 million (2016 est.) |
| Exports: | $1.439 billion (2015 est.) |
| Exports - commodities: | crude oil, coffee, dried and salted fish, liquefied natural gas |
| Exports - partners: | Egypt 26%, Saudi Arabia 15.4%, Oman 11.3%, Malaysia 9.8%, Thailand 5.8%, UAE 4.9% (2016) |
| Imports: | $3.117 billion (2016 est.) |
| Imports: | $6.423 billion (2015 est.) |
| Imports - commodities: | food and live animals, machinery and equipment, chemicals |
| Imports - partners: | UAE 12.8%, China 12%, Turkey 8%, Saudi Arabia 8%, Indonesia 6.8%, Brazil 6.6%, India 4.8% (2016) |
| Reserves of foreign exchange and gold: | $592.6 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $2.035 billion (31 December 2015 est.) |
| Debt - external: | $7.181 billion (31 December 2016 est.) |
| Debt - external: | $7.287 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Exchange rates: | Yemeni rials (YER) per US dollar - |
| Exchange rates: | 214.9 (2016 est.) |
| Exchange rates: | 214.9 (2015 est.) |
| Exchange rates: | 228 (2014 est.) |
| Exchange rates: | 214.89 (2013 est.) |
| Exchange rates: | 214.35 (2012 est.) |
