| Economy | YEMEN |
| Exports - commodities: | crude oil, coffee, dried and salted fish, liquefied natural gas |
| Exports - partners: | China 24.5%, UAE 16.5%, South Korea 10%, Saudi Arabia 10%, Kuwait 9.1%, India 8.5% (2015) |
| Imports: | $4.793 billion (2015 est.) |
| Imports: | $10.86 billion (2014 est.) |
| Imports - commodities: | food and live animals, machinery and equipment, chemicals |
| Imports - partners: | UAE 20.9%, China 14.3%, Saudi Arabia 9.9%, Kuwait 7.4%, India 4.6% (2015) |
| Reserves of foreign exchange and gold: | $1.978 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $4.665 billion (31 December 2014 est.) |
| Debt - external: | $7.697 billion (31 December 2015 est.) |
| Debt - external: | $7.71 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Exchange rates: | Yemeni rials (YER) per US dollar - |
| Exchange rates: | 228 (2015 est.) |
| Exchange rates: | 214.89 (2014 est.) |
| Exchange rates: | 214.89 (2013 est.) |
| Exchange rates: | 214.35 (2012 est.) |
| Exchange rates: | 213.8 (2011 est.) |
