| Economy | Macau |
| Market value of publicly traded shares: | $85.5 billion (2 March 2012 est.) |
| Market value of publicly traded shares: | $46.1 billion (31 February 2011) |
| Market value of publicly traded shares: | $2.3 billion (31 December 2008 est.) |
| Current account balance: | $18.69 billion (2012 est.) |
| Current account balance: | $16.2 billion (2011 est.) |
| Exports: | $1.137 billion (2013 est.) |
| Exports: | $1.02 billion (2012 est.) |
| Exports: | note: includes reexports |
| Exports - commodities: | clothing, textiles, footwear, toys, electronics, machinery and parts |
| Exports - partners: | Hong Kong 53.4%, China 17.7%, US 4% (2013 est.) |
| Imports: | $10.13 billion (2013 est.) |
| Imports: | $8.866 billion (2012 est.) |
| Imports - commodities: | raw materials and semi-manufactured goods, consumer goods (foodstuffs, beverages, tobacco, garments and footwear, motor vehicles), capital goods, mineral fuels and oils |
| Imports - partners: | China 32.6%, Hong Kong 13%, France 8.6%, Japan 5.9%, US 5% (2013 est.) |
| Reserves of foreign exchange and gold: | $16.15 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $16.6 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | note: the Fiscal Reserves Act that came into force on 1 January 2012 requires the fiscal reserve to be separated from the foreign exchange reserves and to be managed separately; the transfer of assets took place in February 2012 |
| Debt - external: | $0 (31 December 2013) |
| Debt - external: | $0 (31 December 2012) |
| Stock of direct foreign investment - at home: | $18.91 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $14.91 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $1.166 billion (2012 est.) |
| Stock of direct foreign investment - abroad: | $667.8 million (2011) |
| Exchange rates: | patacas (MOP) per US dollar - |
| Exchange rates: | 8 (2013 est.) |
| Exchange rates: | 7.9899 (2012 est.) |
| Exchange rates: | 8.0022 (2010 est.) |
| Exchange rates: | 7.983 (2008) |
| Exchange rates: | 8.011 (2007) |
