| Economy | MACAU |
| Imports - commodities: | raw materials and semi-manufactured goods, consumer goods (foodstuffs, beverages, tobacco, garments and footwear, motor vehicles), capital goods, mineral fuels and oils |
| Imports - partners: | China 33.2%, Hong Kong 10.3%, Switzerland 9.1%, France 8.4%, Italy 6.9%, US 6.5%, Japan 5.6% (2014 est.) |
| Reserves of foreign exchange and gold: | $16.15 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | note: the Fiscal Reserves Act that came into force on 1 January 2012 requires the fiscal reserves to be separated from the foreign exchange reserves and to be managed separately; the transfer of assets took place in February 2012 |
| Debt - external: | $0 (31 December 2013) |
| Debt - external: | $0 (31 December 2012) |
| Stock of direct foreign investment - at home: | $18.91 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $14.91 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $1.166 billion (2012 est.) |
| Stock of direct foreign investment - abroad: | $667.8 million (2011 est.) |
| Exchange rates: | patacas (MOP) per US dollar - |
| Exchange rates: | 7.99 (2014 est.) |
| Exchange rates: | 7.9893 (2013 est.) |
| Exchange rates: | 7.99 (2012 est.) |
| Exchange rates: | 8.0182 (2011 est.) |
| Exchange rates: | 8.0022 (2010 est.) |
