| Economy | Uruguay |
| Taxes and other revenues: | 30% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2013 est.) |
| Public debt: | 62.8% of GDP (2013 est.) |
| Public debt: | 59.4% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions. |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.3% (2013 est.) |
| Inflation rate (consumer prices): | 8.1% (2012 est.) |
| Central bank discount rate: | 9% (31 December 2012) |
| Central bank discount rate: | 8.75% (31 December 2011) |
| Central bank discount rate: | note: Uruguay's central bank uses the benchmark interest rate, rather than the discount rate, to conduct monetary policy; the rates shown here are the benchmark rates |
| Commercial bank prime lending rate: | 11.3% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 11.2% (31 December 2012 est.) |
| Stock of narrow money: | $5.312 billion (31 December 2013 est.) |
| Stock of narrow money: | $5.32 billion (31 December 2012 est.) |
| Stock of broad money: | $8.689 billion (31 December 2013 est.) |
| Stock of broad money: | $8.648 billion (31 December 2012 est.) |
| Stock of domestic credit: | $17.66 billion (31 December 2013 est.) |
| Stock of domestic credit: | $16.86 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $175.4 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $174.6 million (31 December 2011) |
| Market value of publicly traded shares: | $156.9 million (31 December 2010 est.) |
| Current account balance: | -$2.721 billion (2013 est.) |
| Current account balance: | -$2.69 billion (2012 est.) |
| Exports: | $10.5 billion (2013 est.) |
| Exports: | $9.89 billion (2012 est.) |
| Exports - commodities: | beef, soybeans, cellulose, rice, wheat, wood, dairy products; wool |
| Exports - partners: | Brazil 18.6%, China 17.9%, Argentina 6.2%, Germany 4.3% (2012) |
| Imports: | $12.5 billion (2013 est.) |
| Imports: | $12.26 billion (2012 est.) |
| Imports - commodities: | refined oil, crude oil, passenger and other transportation vehicles, vehicle parts, cellular phones |
| Imports - partners: | China 16.4%, Brazil 14.9%, Argentina 14.6%, US 9.1%, Paraguay 7.3% (2012) |
| Reserves of foreign exchange and gold: | $16.32 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $13.6 billion (31 December 2012 est.) |
| Debt - external: | $17.61 billion (31 December 2013 est.) |
| Debt - external: | $16.02 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $20.69 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $17.76 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $422 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $357 million (31 December 2012 est.) |
| Exchange rates: | Uruguayan pesos (UYU) per US dollar - |
| Exchange rates: | 20.58 (2013 est.) |
| Exchange rates: | 20.311 (2012 est.) |
| Exchange rates: | 20.059 (2010 est.) |
| Exchange rates: | 22.568 (2009) |
| Exchange rates: | 20.936 (2008) |
