| Economy | URUGUAY |
| Industries: | food processing, electrical machinery, transportation equipment, petroleum products, textiles, chemicals, beverages |
| Industrial production growth rate: | 1.8% (2014 est.) |
| Labor force: | 1.712 million (2014 est.) |
| Labor force - by occupation: | agriculture: 13% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 73% (2010 est.) |
| Unemployment rate: | 6.5% (2014 est.) |
| Unemployment rate: | 6.6% (2013 est.) |
| Population below poverty line: | 18.6% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 34.4% (2010 est.) |
| Distribution of family income - Gini index: | 45.3 (2010) |
| Distribution of family income - Gini index: | 44.8 (1999) |
| Budget: | revenues: $16.8 billion |
| Budget: | expenditures: $18.71 billion (2014 est.) |
| Taxes and other revenues: | 30.2% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -3.4% of GDP (2014 est.) |
| Public debt: | 64.7% of GDP (2014 est.) |
| Public debt: | 62.1% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions. |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.9% (2014 est.) |
| Inflation rate (consumer prices): | 8.6% (2013 est.) |
| Central bank discount rate: | 9% (31 December 2012) |
| Central bank discount rate: | 8.75% (31 December 2011) |
| Central bank discount rate: | note: Uruguay's central bank uses the benchmark interest rate, rather than the discount rate, to conduct monetary policy; the rates shown here are the benchmark rates |
| Commercial bank prime lending rate: | 15.7% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 12.44% (31 December 2013 est.) |
| Stock of narrow money: | $5.201 billion (31 December 2014 est.) |
| Stock of narrow money: | $5.455 billion (31 December 2013 est.) |
| Stock of broad money: | $8.568 billion (31 December 2014 est.) |
| Stock of broad money: | $8.919 billion (31 December 2013 est.) |
| Stock of domestic credit: | $19.82 billion (31 December 2014 est.) |
| Stock of domestic credit: | $19.48 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $175.4 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $174.6 million (31 December 2011) |
| Market value of publicly traded shares: | $156.9 million (31 December 2010 est.) |
| Current account balance: | -$2.615 billion (2014 est.) |
| Current account balance: | -$3.144 billion (2013 est.) |
| Exports: | $11 billion (2014 est.) |
| Exports: | $10.29 billion (2013 est.) |
| Exports - commodities: | beef, soybeans, cellulose, rice, wheat, wood, dairy products; wool |
| Exports - partners: | China 22.4%, Brazil 17.9%, Argentina 6.3%, Venezuela 5% (2014) |
| Imports: | $12.05 billion (2014 est.) |
| Imports: | $11.6 billion (2013 est.) |
| Imports - commodities: | refined oil, crude oil, passenger and other transportation vehicles, vehicle parts, cellular phones |
| Imports - partners: | Brazil 20.3%, China 16.9%, Argentina 13.1%, US 10.2%, Venezuela 4.6% (2014) |
| Reserves of foreign exchange and gold: | $17.96 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $16.28 billion (31 December 2013 est.) |
| Debt - external: | $17.54 billion (31 December 2014 est.) |
| Debt - external: | $16.27 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $23.41 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $20.59 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $411.7 million (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $376.6 million (31 December 2013 est.) |
| Exchange rates: | Uruguayan pesos (UYU) per US dollar - |
| Exchange rates: | 23.18 (2014 est.) |
| Exchange rates: | 20.482 (2013 est.) |
| Exchange rates: | 20.31 (2012 est.) |
| Exchange rates: | 19.314 (2011 est.) |
| Exchange rates: | 20.059 (2010 est.) |
