| Economy | Uruguay |
| Public debt: | 60% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions. |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.1% (2012 est.) |
| Inflation rate (consumer prices): | 8.1% (2011 est.) |
| Central bank discount rate: | 9% (31 December 2012) |
| Central bank discount rate: | 8.75% (31 December 2011) |
| Central bank discount rate: | note: Uruguay's central bank uses the benchmark interest rate, rather than the discount rate, to conduct monetary policy; the rates shown here are the benchmark rates |
| Commercial bank prime lending rate: | 11.2% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 9.78% (31 December 2011 est.) |
| Stock of narrow money: | $5.32 billion (31 December 2012 est.) |
| Stock of narrow money: | $4.749 billion (31 December 2011 est.) |
| Stock of broad money: | $16.97 billion (31 December 2010 est.) |
| Stock of broad money: | $14.22 billion (31 December 2009 est.) |
| Stock of domestic credit: | $16.86 billion (31 December 2012 est.) |
| Stock of domestic credit: | $13.67 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $231 million (31 December 2011) |
| Market value of publicly traded shares: | $238 million (31 December 2010) |
| Market value of publicly traded shares: | $219 million (31 December 2009) |
| Current account balance: | $-2.69 billion (2012 est.) |
| Current account balance: | $-1.372 billion (2011 est.) |
| Exports: | $9.89 billion (2012 est.) |
| Exports: | $9.274 billion (2011 est.) |
| Exports - commodities: | beef, soybeans, cellulose, rice, wheat, wood, dairy products; wool |
| Exports - partners: | Brazil 18.6%, China 17.9%, Argentina 6.2%, Germany 4.3% (2012) |
| Imports: | $12.26 billion (2012 est.) |
| Imports: | $10.7 billion (2011 est.) |
| Imports - commodities: | refined oil, crude oil, passenger and other transportation vehicles, vehicle parts, cellular phones |
| Imports - partners: | China 16.4%, Brazil 14.9%, Argentina 14.6%, US 9.1%, Paraguay 7.3% (2012) |
| Reserves of foreign exchange and gold: | $13.6 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $10.3 billion (31 December 2011 est.) |
| Debt - external: | $16.02 billion (31 December 2012 est.) |
| Debt - external: | $14.35 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $17.76 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $15.19 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $357 million (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $354 million (31 December 2011 est.) |
| Exchange rates: | Uruguayan pesos (UYU) per US dollar - |
| Exchange rates: | 20.31 (2012 est.) |
| Exchange rates: | 19.31 (2011 est.) |
| Exchange rates: | 20.06 (2010 est.) |
| Exchange rates: | 22.57 (2009) |
| Exchange rates: | 20.94 (2008) |
