| Economy | Sweden |
| Population below poverty line: | 15% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 24% (2012) |
| Budget: | revenues: 271.2 billion (2017 est.) |
| Budget: | expenditures: 264.4 billion (2017 est.) |
| Taxes and other revenues: | 50.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.3% (of GDP) (2017 est.) |
| Public debt: | 40.8% of GDP (2017 est.) |
| Public debt: | 42.3% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | $22.339 billion (2019 est.) |
| Current account balance: | $13.902 billion (2018 est.) |
| Exports: | $302.65 billion (2019 est.) |
| Exports: | $291.846 billion (2018 est.) |
| Exports: | $279.461 billion (2017 est.) |
| Exports - partners: | Germany 11%, Norway 10.2%, Finland 6.9%, US 6.9%, Denmark 6.9%, UK 6.2%, Netherlands 5.5%, China 4.5%, Belgium 4.4%, France 4.2% (2017) |
| Exports - commodities: | machinery (26%), motor vehicles, paper products, pulp and wood, iron and steel products, chemicals (2016 est.) |
| Imports: | $276.622 billion (2019 est.) |
| Imports: | $273.125 billion (2018 est.) |
| Imports: | $262.597 billion (2017 est.) |
| Imports - commodities: | machinery, petroleum and petroleum products, chemicals, motor vehicles, iron and steel; foodstuffs, clothing |
| Imports - partners: | Germany 18.7%, Netherlands 8.9%, Norway 7.7%, Denmark 7.2%, China 5.5%, UK 5.1%, Finland 4.7%, Belgium 4.7% (2017) |
| Reserves of foreign exchange and gold: | $62.22 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $59.39 billion (31 December 2016 est.) |
| Debt - external: | $939.9 billion (31 March 2016 est.) |
| Debt - external: | $929.4 billion (31 March 2015 est.) |
| Exchange rates: | Swedish kronor (SEK) per US dollar - |
| Exchange rates: | 8.49085 (2020 est.) |
| Exchange rates: | 9.52915 (2019 est.) |
| Exchange rates: | 9.01895 (2018 est.) |
| Exchange rates: | 8.4335 (2014 est.) |
| Exchange rates: | 6.8612 (2013 est.) |
