| Economy | Sweden |
| GDP - composition, by sector of origin: | services: 65.4% (2017 est.) |
| Agriculture - products: | barley, wheat, sugar beets; meat, milk |
| Industries: | iron and steel, precision equipment (bearings, radio and telephone parts, armaments), wood pulp and paper products, processed foods, motor vehicles |
| Industrial production growth rate: | 4.1% (2017 est.) |
| Labor force: | 5.361 million (2017 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | industry: 12% |
| Labor force - by occupation: | services: 86% (2014 est.) |
| Unemployment rate: | 6.7% (2017 est.) |
| Unemployment rate: | 7% (2016 est.) |
| Population below poverty line: | 15% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 24% (2012) |
| Distribution of family income - Gini index: | 24.9 (2013) |
| Distribution of family income - Gini index: | 25 (1992) |
| Budget: | revenues: 271.2 billion (2017 est.) |
| Budget: | expenditures: 264.4 billion (2017 est.) |
| Taxes and other revenues: | 50.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.3% (of GDP) (2017 est.) |
| Public debt: | 40.8% of GDP (2017 est.) |
| Public debt: | 42.3% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.9% (2017 est.) |
| Inflation rate (consumer prices): | 1.1% (2016 est.) |
| Central bank discount rate: | -0.5% (31 December 2017) |
| Central bank discount rate: | -0.5% (31 December 2016) |
| Central bank discount rate: | note: the Discount rate was abolished in 2002, and replaced by a "Reference rate" with no bearing on monetary policy; the rate quoted here is the Reference rate |
| Commercial bank prime lending rate: | 1.93% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 2% (31 December 2016 est.) |
| Stock of narrow money: | $329.2 billion (31 December 2017 est.) |
| Stock of narrow money: | $273.9 billion (31 December 2016 est.) |
| Stock of broad money: | $329.2 billion (31 December 2017 est.) |
| Stock of broad money: | $273.9 billion (31 December 2016 est.) |
| Stock of domestic credit: | $929.1 billion (31 December 2017 est.) |
| Stock of domestic credit: | $749.6 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $560.5 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $470.1 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $581.2 billion (31 December 2010 est.) |
| Current account balance: | $17.79 billion (2017 est.) |
| Current account balance: | $21.84 billion (2016 est.) |
| Exports: | $165.6 billion (2017 est.) |
| Exports: | $151.4 billion (2016 est.) |
| Exports - partners: | Germany 11%, Norway 10.2%, Finland 6.9%, US 6.9%, Denmark 6.9%, UK 6.2%, Netherlands 5.5%, China 4.5%, Belgium 4.4%, France 4.2% (2017) |
| Exports - commodities: | machinery (26%), motor vehicles, paper products, pulp and wood, iron and steel products, chemicals (2016 est.) |
| Imports: | $153.2 billion (2017 est.) |
| Imports: | $140.2 billion (2016 est.) |
| Imports - commodities: | machinery, petroleum and petroleum products, chemicals, motor vehicles, iron and steel; foodstuffs, clothing |
| Imports - partners: | Germany 18.7%, Netherlands 8.9%, Norway 7.7%, Denmark 7.2%, China 5.5%, UK 5.1%, Finland 4.7%, Belgium 4.7% (2017) |
| Reserves of foreign exchange and gold: | $62.22 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $59.39 billion (31 December 2016 est.) |
| Debt - external: | $939.9 billion (31 March 2016 est.) |
| Debt - external: | $929.4 billion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $458.2 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $390.5 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $523.5 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $479.3 billion (31 December 2016 est.) |
| Exchange rates: | Swedish kronor (SEK) per US dollar - |
| Exchange rates: | 8.442 (2017 est.) |
| Exchange rates: | 8.5605 (2016 est.) |
| Exchange rates: | 8.5605 (2015 est.) |
| Exchange rates: | 8.4335 (2014 est.) |
| Exchange rates: | 6.8612 (2013 est.) |
