| Economy | MALAYSIA |
| Market value of publicly traded shares: | $383 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $459 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $500.4 billion (31 December 2013 est.) |
| Current account balance: | $6.996 billion (2016 est.) |
| Current account balance: | $9.068 billion (2015 est.) |
| Exports: | $165.3 billion (2016 est.) |
| Exports: | $174.6 billion (2015 est.) |
| Exports - commodities: | semiconductors and electronic equipment, palm oil, petroleum and liquefied natural gas, wood and wood products, palm oil, rubber, textiles, chemicals, solar panels |
| Exports - partners: | Singapore 14.7%, China 12.6%, US 10.3%, Japan 8.1%, Thailand 5.7%, Hong Kong 4.8%, India 4.1% (2016) |
| Imports: | $140.9 billion (2016 est.) |
| Imports: | $146.7 billion (2015 est.) |
| Imports - commodities: | electronics, machinery, petroleum products, plastics, vehicles, iron and steel products, chemicals |
| Imports - partners: | China 19.4%, Singapore 9.8%, Japan 7.7%, US 7.6%, Thailand 5.8%, South Korea 5%, Indonesia 4% (2016) |
| Reserves of foreign exchange and gold: | $94.5 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $95.29 billion (31 December 2015 est.) |
| Debt - external: | $195.3 billion (31 December 2016 est.) |
| Debt - external: | $191 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $121.6 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $117.6 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $126.9 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $136.9 billion (31 December 2015 est.) |
| Exchange rates: | ringgits (MYR) per US dollar - |
| Exchange rates: | 4.1483 (2016 est.) |
| Exchange rates: | 4.15 (2015 est.) |
| Exchange rates: | 3.91 (2014 est.) |
| Exchange rates: | 3.27 (2013 est.) |
| Exchange rates: | 3.09 (2012 est.) |
