| Economy | JAMAICA |
| Current account balance: | $-430 million (2015 est.) |
| Exports: | $1.195 billion (2016 est.) |
| Exports: | $1.255 billion (2015 est.) |
| Exports - commodities: | alumina, bauxite, sugar, rum, coffee, yams, beverages, chemicals, apparel, mineral fuels |
| Exports - partners: | US 40.8%, Canada 11.9%, Netherlands 10.2%, Russia 5.8%, UK 4.1% (2016) |
| Imports: | $4.169 billion (2016 est.) |
| Imports: | $4.449 billion (2015 est.) |
| Imports - commodities: | food and other consumer goods, industrial supplies, fuel, parts and accessories of capital goods, machinery and transport equipment, construction materials |
| Imports - partners: | US 39%, Trinidad and Tobago 7.2%, China 6.4%, Japan 6.2%, Mexico 4.1% (2016) |
| Reserves of foreign exchange and gold: | $3.291 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $2.914 billion (31 December 2015 est.) |
| Debt - external: | $15.17 billion (31 December 2016 est.) |
| Debt - external: | $14.27 billion (31 December 2015 est.) |
| Exchange rates: | Jamaican dollars (JMD) per US dollar - |
| Exchange rates: | 125.126 (2016 est.) |
| Exchange rates: | 125.126 (2015 est.) |
| Exchange rates: | 116.898 (2014 est.) |
| Exchange rates: | 110.935 (2013 est.) |
| Exchange rates: | 88.75 (2012 est.) |
