| Economy | Jamaica |
| Gross national saving: | 7% of GDP (2011 est.) |
| Gross national saving: | 13.1% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 86.2% |
| GDP - composition, by end use: | government consumption: 15.9% |
| GDP - composition, by end use: | investment in fixed capital: 21% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 33.7% |
| GDP - composition, by end use: | imports of goods and services: -57.2% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.6% |
| GDP - composition, by sector of origin: | industry: 29% |
| GDP - composition, by sector of origin: | services: 64.4% (2012 est.) |
| Agriculture - products: | sugarcane, bananas, coffee, citrus, yams, ackees, vegetables; poultry, goats, milk; shellfish |
| Industries: | tourism, bauxite/alumina, agro-processing, light manufactures, rum, cement, metal, paper, chemical products, telecommunications |
| Industrial production growth rate: | -2.7% (2012 est.) |
| Labor force: | 1.26 million (2012 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 64% (2006) |
| Unemployment rate: | 13.7% (2012 est.) |
| Unemployment rate: | 12.7% (2011 est.) |
| Population below poverty line: | 16.5% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 35.8% (2004) |
| Distribution of family income - Gini index: | 45.5 (2004) |
| Distribution of family income - Gini index: | 37.9 (2000) |
| Budget: | revenues: $3.884 billion |
| Budget: | expenditures: $4.499 billion (2012 est.) |
| Taxes and other revenues: | 26.5% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.2% of GDP (2012 est.) |
| Public debt: | 132.9% of GDP (2012 est.) |
| Public debt: | 131.5% of GDP (2011 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 6.9% (2012 est.) |
| Inflation rate (consumer prices): | 7.5% (2011 est.) |
| Central bank discount rate: | 2% (31 December 2010 est.) |
| Central bank discount rate: | NA% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 17.63% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 19.51% (31 December 2011 est.) |
| Stock of narrow money: | $1.723 billion (31 December 2012 est.) |
| Stock of narrow money: | $1.962 billion (31 December 2011 est.) |
| Stock of broad money: | $7.309 billion (31 December 2011 est.) |
| Stock of broad money: | $7.012 billion (31 December 2010 est.) |
| Stock of domestic credit: | $7.351 billion (31 December 2012 est.) |
| Stock of domestic credit: | $7.131 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $7.223 billion (31 December 2011) |
| Market value of publicly traded shares: | $6.626 billion (31 December 2010) |
| Market value of publicly traded shares: | $6.201 billion (31 December 2009) |
| Current account balance: | $-1.905 billion (2012 est.) |
| Current account balance: | $-2.063 billion (2011 est.) |
| Exports: | $1.747 billion (2012 est.) |
| Exports: | $1.666 billion (2011 est.) |
| Exports - commodities: | alumina, bauxite, sugar, rum, coffee, yams, beverages, chemicals, wearing apparel, mineral fuels |
| Exports - partners: | US 48%, Canada 7.2%, Slovenia 4.2%, Netherlands 4.1%, UAE 4.1% (2012) |
| Imports: | $5.905 billion (2012 est.) |
| Imports: | $5.881 billion (2011 est.) |
| Imports - commodities: | food and other consumer goods, industrial supplies, fuel, parts and accessories of capital goods, machinery and transport equipment, construction materials |
| Imports - partners: | US 36.1%, Venezuela 15.6%, Trinidad and Tobago 10.8%, China 4.8%, Mexico 4% (2012) |
| Reserves of foreign exchange and gold: | $1.981 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $2.282 billion (31 December 2011 est.) |
| Debt - external: | $14.09 billion (31 December 2012 est.) |
| Debt - external: | $14.35 billion (31 December 2011 est.) |
| Exchange rates: | Jamaican dollars (JMD) per US dollar - |
| Exchange rates: | 88.75 (2012 est.) |
| Exchange rates: | 85.89 (2011 est.) |
| Exchange rates: | 87.2 (2010 est.) |
| Exchange rates: | 87.89 (2009) |
| Exchange rates: | 72.24 (2008) |
