| Economy | JORDAN |
| Taxes and other revenues: | 22.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -6.8% of GDP (2015 est.) |
| Public debt: | 85.5% of GDP (2015 est.) |
| Public debt: | 80.8% of GDP (2014 est.) |
| Public debt: | note: data cover central government debt and include debt instruments issued (or owned) by government entities other than the treasury, and treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.9% (2015 est.) |
| Inflation rate (consumer prices): | 2.9% (2014 est.) |
| Central bank discount rate: | 0.3% (31 December 2010) |
| Central bank discount rate: | 4.75% (31 December 2009) |
| Commercial bank prime lending rate: | 8.24% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 8.84% (31 December 2014 est.) |
| Stock of narrow money: | $13.92 billion (31 December 2015 est.) |
| Stock of narrow money: | $13 billion (31 December 2014 est.) |
| Stock of broad money: | $43.64 billion (31 December 2015 est.) |
| Stock of broad money: | $41.18 billion (31 December 2014 est.) |
| Stock of domestic credit: | $39.57 billion (31 December 2015 est.) |
| Stock of domestic credit: | $38.04 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $27 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $27.18 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $30.86 billion (31 December 2013 est.) |
| Current account balance: | -$3.299 billion (2015 est.) |
| Current account balance: | -$2.362 billion (2014 est.) |
| Exports: | $7.829 billion (2015 est.) |
| Exports: | $8.385 billion (2014 est.) |
| Exports - commodities: | textiles, fertilizers, potash, phosphates, vegetables, pharmaceuticals |
| Exports - partners: | US 21%, Saudi Arabia 16.5%, Iraq 10.3%, India 8.7%, UAE 4.8%, Kuwait 4.4% (2015) |
| Imports: | $18.04 billion (2015 est.) |
| Imports: | $20.35 billion (2014 est.) |
| Imports - commodities: | crude oil, refined petroleum products, machinery, transport equipment, iron, cereals |
| Imports - partners: | Saudi Arabia 15.4%, China 12.8%, US 6.2%, Germany 4.7%, UAE 4.2% (2015) |
| Reserves of foreign exchange and gold: | $16.57 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $16.04 billion (31 December 2014 est.) |
| Debt - external: | $25.16 billion (31 December 2015 est.) |
| Debt - external: | $24.26 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $29.96 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $28.71 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $609.3 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $608.3 million (31 December 2014 est.) |
| Exchange rates: | Jordanian dinars (JOD) per US dollar - |
| Exchange rates: | 0.71 (2015 est.) |
| Exchange rates: | 0.71 (2014 est.) |
| Exchange rates: | 0.71 (2013 est.) |
| Exchange rates: | 0.709 (2012 est.) |
| Exchange rates: | 0.709 (2011 est.) |
