| Economy | Jordan |
| Ease of Doing Business Index scores: | 84.5 (2020) |
| Agriculture - products: | citrus, tomatoes, cucumbers, olives, strawberries, stone fruits; sheep, poultry, dairy |
| Industries: | tourism, information technology, clothing, fertilizer, potash, phosphate mining, pharmaceuticals, petroleum refining, cement, inorganic chemicals, light manufacturing |
| Industrial production growth rate: | 1.4% (2017 est.) |
| Labor force: | 731,000 (2020 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 78% (2013 est.) |
| Unemployment rate: | 19.1% (2019 est.) |
| Unemployment rate: | 18.61% (2018 est.) |
| Unemployment rate: | note: official rate; unofficial rate is approximately 30% |
| Population below poverty line: | 14.2% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.7% (2010 est.) |
| Budget: | revenues: 9.462 billion (2017 est.) |
| Budget: | expenditures: 11.51 billion (2017 est.) |
| Taxes and other revenues: | 23.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -5.1% (of GDP) (2017 est.) |
| Public debt: | 95.9% of GDP (2017 est.) |
| Public debt: | 95.1% of GDP (2016 est.) |
| Public debt: | note: data cover central government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | -$1.222 billion (2019 est.) |
| Current account balance: | -$2.964 billion (2018 est.) |
| Exports: | $13.109 billion (2018 est.) |
| Exports: | $12.718 billion (2017 est.) |
| Exports - partners: | US 24.9%, Saudi Arabia 12.8%, India 8.2%, Iraq 8.2%, Kuwait 5.4%, UAE 4.6% (2017) |
| Exports - commodities: | textiles, fertilizers, potash, phosphates, vegetables, pharmaceuticals |
| Imports: | $19.669 billion (2018 est.) |
| Imports: | $19.353 billion (2017 est.) |
| Imports - commodities: | crude oil, refined petroleum products, machinery, transport equipment, iron, cereals |
| Imports - partners: | China 13.6%, Saudi Arabia 13.6%, US 9.9%, UAE 4.9%, Germany 4.4% (2017) |
| Reserves of foreign exchange and gold: | $15.56 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $15.54 billion (31 December 2016 est.) |
| Debt - external: | $29.34 billion (31 December 2017 est.) |
| Debt - external: | $26.38 billion (31 December 2016 est.) |
| Exchange rates: | Jordanian dinars (JOD) per US dollar - |
| Exchange rates: | 0.709 (2020 est.) |
| Exchange rates: | 0.709 (2019 est.) |
| Exchange rates: | 0.70925 (2018 est.) |
| Exchange rates: | 0.71 (2014 est.) |
| Exchange rates: | 0.71 (2013 est.) |
