| Economy | Jordan |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.9% (2013 est.) |
| Inflation rate (consumer prices): | 4.8% (2012 est.) |
| Central bank discount rate: | 0.3% (31 December 2010 est.) |
| Central bank discount rate: | $NA (31 December 2009 est.) |
| Commercial bank prime lending rate: | 8.9% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 8.95% (31 December 2012 est.) |
| Stock of narrow money: | $10.68 billion (31 December 2013 est.) |
| Stock of narrow money: | $10.17 billion (31 December 2012 est.) |
| Stock of broad money: | $37.19 billion (31 December 2013 est.) |
| Stock of broad money: | $35.18 billion (31 December 2012 est.) |
| Stock of domestic credit: | $38.3 billion (31 December 2013 est.) |
| Stock of domestic credit: | $35.39 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $27 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $27.18 billion (31 December 2011) |
| Market value of publicly traded shares: | $30.86 billion (31 December 2010 est.) |
| Current account balance: | -$4.766 billion (2013 est.) |
| Current account balance: | -$5.37 billion (2012 est.) |
| Exports: | $7.914 billion (2013 est.) |
| Exports: | $7.898 billion (2012 est.) |
| Exports - commodities: | clothing, fertilizers, potash, phosphates, vegetables, pharmaceuticals |
| Exports - partners: | US 16.6%, Iraq 15.1%, Saudi Arabia 11%, India 10.5%, Indonesia 4.2% (2012) |
| Imports: | $18.61 billion (2013 est.) |
| Imports: | $18.46 billion (2012 est.) |
| Imports - commodities: | crude oil, machinery, transport equipment, iron, cereals |
| Imports - partners: | Saudi Arabia 23.6%, China 9.4%, US 6.7%, Italy 4.7%, Turkey 4.6% (2012) |
| Reserves of foreign exchange and gold: | $11.83 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $8.829 billion (31 December 2012 est.) |
| Debt - external: | $22.04 billion (31 December 2013 est.) |
| Debt - external: | $19.67 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $26.69 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $24.78 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $549 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $509 million (31 December 2012 est.) |
| Exchange rates: | Jordanian dinars (JOD) per US dollar - |
| Exchange rates: | 0.709 (2013 est.) |
| Exchange rates: | 0.709 (2012 est.) |
| Exchange rates: | 0.71 (2010 est.) |
| Exchange rates: | 0.709 (2009) |
| Exchange rates: | 0.709 (2008) |
