| Economy | Montenegro |
| GDP - composition, by end use: | exports of goods and services: 40.5% (2016 est.) |
| GDP - composition, by end use: | imports of goods and services: -63% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.5% (2016 est.) |
| GDP - composition, by sector of origin: | industry: 15.9% (2016 est.) |
| GDP - composition, by sector of origin: | services: 76.6% (2016 est.) |
| Agriculture - products: | tobacco, potatoes, citrus fruits, olives and related products, grapes; sheep, wine |
| Industries: | steelmaking, aluminum, agricultural processing, consumer goods, tourism |
| Industrial production growth rate: | -4.2% (2017 est.) |
| Labor force: | 273,200 (2017 est.) |
| Labor force - by occupation: | agriculture: 7.9% |
| Labor force - by occupation: | industry: 17.1% |
| Labor force - by occupation: | services: 75% (2017 est.) |
| Unemployment rate: | 16.1% (2017 est.) |
| Unemployment rate: | 17.1% (2016 est.) |
| Population below poverty line: | 8.6% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 25.7% (2014 est.) |
| Household income or consumption by percentage share: | highest 10%: 25.7% |
| Distribution of family income - Gini index: | 31.9 (2014 est.) |
| Distribution of family income - Gini index: | 32.3 (2013 est.) |
| Budget: | revenues: 1.78 billion (2017 est.) |
| Budget: | expenditures: 2.05 billion (2017 est.) |
| Taxes and other revenues: | 37.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -5.6% (of GDP) (2017 est.) |
| Public debt: | 67.2% of GDP (2017 est.) |
| Public debt: | 66.4% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.4% (2017 est.) |
| Inflation rate (consumer prices): | -0.3% (2016 est.) |
| Commercial bank prime lending rate: | 6.81% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 7.45% (31 December 2016 est.) |
| Stock of narrow money: | $1.284 billion (31 December 2016 est.) |
| Stock of narrow money: | $1.072 billion (31 December 2015 est.) |
| Stock of broad money: | $2.37 billion (31 December 2016 est.) |
| Stock of broad money: | $2.235 billion (31 December 2015 est.) |
| Stock of domestic credit: | $3.239 billion (31 December 2017 est.) |
| Stock of domestic credit: | $2.547 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $3.425 billion (31 December 2017 est.) |
| Market value of publicly traded shares: | $3.027 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $3.246 billion (31 December 2015 est.) |
| Current account balance: | -$780 million (2017 est.) |
| Current account balance: | -$710 million (2016 est.) |
| Exports: | $422.2 million (2017 est.) |
| Exports: | $362 million (2016 est.) |
| Imports: | $2.618 billion (2017 est.) |
| Imports: | $2.29 billion (2016 est.) |
| Reserves of foreign exchange and gold: | $1.077 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $846.5 million (31 December 2016 est.) |
| Debt - external: | $2.516 billion (31 December 2017 est.) |
| Debt - external: | $2.224 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $737.7 million (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $763.4 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $39.77 million (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $213.1 million (31 December 2016 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
