| Economy | CANADA |
| Public debt: | note: figures are for gross general government debt, as opposed to net federal debt; gross general government debt includes both intragovernmental debt and the debt of public entities at the sub-national level |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 1.9% (2014 est.) |
| Inflation rate (consumer prices): | 1% (2013 est.) |
| Central bank discount rate: | 1% (31 December 2010) |
| Central bank discount rate: | 0.25% (31 December 2009) |
| Commercial bank prime lending rate: | 3% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 3% (31 December 2013 est.) |
| Stock of narrow money: | $661.5 billion (31 December 2014 est.) |
| Stock of narrow money: | $638.5 billion (31 December 2013 est.) |
| Stock of broad money: | $1.486 trillion (31 December 2014 est.) |
| Stock of broad money: | $1.47 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.031 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $3.044 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $2.016 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.907 trillion (31 December 2011) |
| Market value of publicly traded shares: | $2.16 trillion (31 December 2010 est.) |
| Current account balance: | -$39.37 billion (2014 est.) |
| Current account balance: | -$58.54 billion (2013 est.) |
| Exports: | $465.1 billion (2014 est.) |
| Exports: | $465.5 billion (2013 est.) |
| Exports - commodities: | motor vehicles and parts, industrial machinery, aircraft, telecommunications equipment; chemicals, plastics, fertilizers; wood pulp, timber, crude petroleum, natural gas, electricity, aluminum |
| Exports - partners: | US 75.8%, China 4.4% (2013) |
| Imports: | $482.1 billion (2014 est.) |
| Imports: | $472.6 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, motor vehicles and parts, crude oil, chemicals, electricity, durable consumer goods |
| Imports - partners: | US 52.1%, China 11.1%, Mexico 5.6% (2013) |
| Reserves of foreign exchange and gold: | $71.94 billion (31 December 2013 est.) |
| Debt - external: | $1.331 trillion (31 December 2012 est.) |
| Debt - external: | $1.191 trillion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $1.065 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $993.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.211 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $1.153 trillion (31 December 2013 est.) |
| Exchange rates: | Canadian dollars (CAD) per US dollar - |
| Exchange rates: | 1.099 (2014 est.) |
| Exchange rates: | 1.0298 (2013 est.) |
| Exchange rates: | 1 (2012 est.) |
| Exchange rates: | 0.9895 (2011 est.) |
| Exchange rates: | 1.0302 (2010 est.) |
