| Economy | HONG KONG |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $320.9 billion (2016 est.) |
| GDP - real growth rate: | 2% (2016 est.) |
| GDP - real growth rate: | 2.4% (2015 est.) |
| GDP - real growth rate: | 2.8% (2014 est.) |
| GDP - per capita (PPP): | $58,400 (2016 est.) |
| GDP - per capita (PPP): | $57,700 (2015 est.) |
| GDP - per capita (PPP): | $56,700 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 26.4% of GDP (2016 est.) |
| Gross national saving: | 24.9% of GDP (2015 est.) |
| Gross national saving: | 25.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 66.2% |
| GDP - composition, by end use: | government consumption: 10% |
| GDP - composition, by end use: | investment in fixed capital: 21.5% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 187.4% |
| GDP - composition, by end use: | imports of goods and services: -185.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.1% |
| GDP - composition, by sector of origin: | industry: 7.2% |
| GDP - composition, by sector of origin: | services: 92.8% (2016 est.) |
| Agriculture - products: | fresh vegetables and fruit; poultry, pork; fish |
| Industries: | textiles, clothing, tourism, banking, shipping, electronics, plastics, toys, watches, clocks |
| Industrial production growth rate: | 1.7% (2016 est.) |
| Labor force: | 3.915 million (2016 est.) |
| Labor force - by occupation: | manufacturing: 3.8% |
| Labor force - by occupation: | construction: 2.8% |
| Labor force - by occupation: | wholesale and retail trade, restaurants, and hotels: 53.3% |
| Labor force - by occupation: | financing, insurance, and real estate: 12.5% |
| Labor force - by occupation: | transport and communications: 10.1% |
| Labor force - by occupation: | community and social services: 17.1% |
| Labor force - by occupation: | note: above data exclude public sector (2013 est.) |
| Unemployment rate: | 2.7% (2016 est.) |
| Unemployment rate: | 3.3% (2015 est.) |
| Population below poverty line: | 19.6% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 53.7 (2011) |
| Distribution of family income - Gini index: | 53.3 (2007) |
| Budget: | revenues: $68.56 billion |
| Budget: | expenditures: $60.14 billion (2016 est.) |
| Taxes and other revenues: | 21.4% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 2.6% of GDP (2016 est.) |
| Public debt: | 0.1% of GDP (2016 est.) |
| Public debt: | 0.1% of GDP (2015 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 2.6% (2016 est.) |
| Inflation rate (consumer prices): | 3% (2015 est.) |
| Central bank discount rate: | 0.5% (31 December 2013) |
| Central bank discount rate: | 0.5% (31 December 2012) |
| Commercial bank prime lending rate: | 5% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 5% (31 December 2015 est.) |
| Stock of narrow money: | $285.5 billion (31 December 2016 est.) |
| Stock of narrow money: | $254.3 billion (31 December 2015 est.) |
| Stock of broad money: | $1.613 trillion (31 December 2016 est.) |
| Stock of broad money: | $1.499 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $676.5 billion (31 December 2016 est.) |
| Stock of domestic credit: | $655.6 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $3.185 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $3.233 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $3.101 trillion (31 December 2013 est.) |
| Current account balance: | $14.88 billion (2016 est.) |
| Current account balance: | $10.26 billion (2015 est.) |
| Exports: | $502.5 billion (2016 est.) |
| Exports: | $501.7 billion (2015 est.) |
| Exports - commodities: | electrical machinery and appliances, textiles, apparel, footwear, watches and clocks, toys, plastics, precious stones, printed material |
| Exports - partners: | China 54.2%, US 9% (2016) |
| Imports: | $520.1 billion (2016 est.) |
| Imports: | $524.6 billion (2015 est.) |
| Imports - commodities: | raw materials and semi-manufactures, consumer goods, capital goods, foodstuffs, fuel (most is reexported) |
| Imports - partners: | China 47.8%, Singapore 6.5%, Japan 6.2%, US 5.2%, South Korea 4.9% (2016) |
| Reserves of foreign exchange and gold: | $386.3 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $358.8 billion (31 December 2015 est.) |
| Debt - external: | $505.9 billion (31 December 2016 est.) |
| Debt - external: | $491.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $1.786 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $1.767 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $1.723 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $1.707 trillion (31 December 2015 est.) |
| Exchange rates: | Hong Kong dollars (HKD) per US dollar - |
| Exchange rates: | 7.7623 (2016 est.) |
| Exchange rates: | 7.762 (2015 est.) |
| Exchange rates: | 7.752 (2014 est.) |
| Exchange rates: | 7.754 (2013 est.) |
| Exchange rates: | 7.756 (2012 est.) |
