| Economy | Nicaragua |
| Public debt: | note: official data; data cover general government debt and include debt instruments issued (or owned) by Government entities other than the treasury; the data include treasury debt held by foreign entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions; Nicaragua rebased its GDP figures in 2012, which reduced the figures for debt as a percentage of GDP |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.9% (2017 est.) |
| Inflation rate (consumer prices): | 3.5% (2016 est.) |
| Central bank discount rate: | 3% (31 December 2010) |
| Commercial bank prime lending rate: | 10.8% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 11.44% (31 December 2016 est.) |
| Stock of narrow money: | $1.162 billion (31 December 2017 est.) |
| Stock of narrow money: | $1.043 billion (31 December 2016 est.) |
| Stock of broad money: | $1.162 billion (31 December 2017 est.) |
| Stock of broad money: | $1.043 billion (31 December 2016 est.) |
| Stock of domestic credit: | $6.461 billion (31 December 2017 est.) |
| Stock of domestic credit: | $6.159 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $1.568 billion (31 December 2016) |
| Market value of publicly traded shares: | $1.209 billion (31 December 2015) |
| Market value of publicly traded shares: | $995 million (31 December 2014) |
| Current account balance: | -$694 million (2017 est.) |
| Current account balance: | -$989 million (2016 est.) |
| Exports: | $38.19 billion (2017 est.) |
| Exports: | $3.772 billion (2016 est.) |
| Exports - partners: | US 44.2%, El Salvador 6.4%, Venezuela 5.5%, Costa Rica 5.5% (2017) |
| Exports - commodities: | coffee, beef, gold, sugar, peanuts, shrimp and lobster, tobacco, cigars, automobile wiring harnesses, textiles, apparel |
| Imports: | $6.613 billion (2017 est.) |
| Imports: | $6.384 billion (2016 est.) |
| Imports - commodities: | consumer goods, machinery and equipment, raw materials, petroleum products |
| Imports - partners: | US 20.8%, China 14.3%, Mexico 11.1%, Costa Rica 7.9%, Guatemala 7%, El Salvador 5.6% (2017) |
| Reserves of foreign exchange and gold: | $2.758 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.448 billion (31 December 2016 est.) |
| Debt - external: | $11.31 billion (31 December 2017 est.) |
| Debt - external: | $10.87 billion (31 December 2016 est.) |
| Exchange rates: | cordobas (NIO) per US dollar - |
| Exchange rates: | 30.11 (2017 est.) |
| Exchange rates: | 28.678 (2016 est.) |
| Exchange rates: | 28.678 (2015 est.) |
| Exchange rates: | 27.257 (2014 est.) |
| Exchange rates: | 26.01 (2013 est.) |
