| Economy | NICARAGUA |
| Unemployment rate: | 6.2% (2016 est.) |
| Unemployment rate: | 6.1% (2015 est.) |
| Unemployment rate: | note: underemployment was 46.5% in 2008 |
| Population below poverty line: | 29.6% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 47.1% (2014) |
| Distribution of family income - Gini index: | 47.1 (2014) |
| Distribution of family income - Gini index: | 45.8 (2009) |
| Budget: | revenues: $3.637 billion |
| Budget: | expenditures: $3.848 billion (2016 est.) |
| Taxes and other revenues: | 27.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1.6% of GDP (2016 est.) |
| Public debt: | 45.2% of GDP (2016 est.) |
| Public debt: | 45.5% of GDP (2015 est.) |
| Public debt: | note: official data; data cover general government debt, and includes debt instruments issued (or owned) by Government entities other than the treasury; the data include treasury debt held by foreign entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions; Nicaragua rebased its GDP figures in 2012, which reduced the figures for debt as a percentage of GDP |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.5% (2016 est.) |
| Inflation rate (consumer prices): | 4% (2015 est.) |
| Central bank discount rate: | 3% (31 December 2010) |
| Commercial bank prime lending rate: | 11.44% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 12.05% (31 December 2015 est.) |
| Stock of narrow money: | $1.043 billion (31 December 2016 est.) |
| Stock of narrow money: | $1.093 billion (31 December 2015 est.) |
| Stock of broad money: | $1.445 billion (31 December 2016 est.) |
| Stock of broad money: | $1.52 billion (31 December 2015 est.) |
| Stock of domestic credit: | $6.159 billion (31 December 2016 est.) |
| Stock of domestic credit: | $5.659 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.568 billion (31 December 2016) |
| Market value of publicly traded shares: | $1.209 billion (31 December 2015) |
| Market value of publicly traded shares: | $995 million (31 December 2014) |
| Current account balance: | $-1.133 billion (2016 est.) |
| Current account balance: | $-1.143 billion (2015 est.) |
| Exports: | $3.772 billion (2016 est.) |
| Exports: | $3.859 billion (2015 est.) |
| Exports - commodities: | coffee, beef, gold, sugar, peanuts, shrimp and lobster, tobacco, cigars, automobile wiring harnesses, textiles, apparel |
| Exports - partners: | US 51.5%, Mexico 13.8%, El Salvador 6%, Venezuela 5.9% (2016) |
| Imports: | $6.384 billion (2016 est.) |
| Imports: | $6.405 billion (2015 est.) |
| Imports - commodities: | consumer goods, machinery and equipment, raw materials, petroleum products |
| Imports - partners: | US 19.7%, China 12.9%, Mexico 9.7%, Costa Rica 7.8%, Guatemala 6.5%, Netherlands Antilles 5.7%, El Salvador 4.8% (2016) |
| Reserves of foreign exchange and gold: | $2.448 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $2.492 billion (31 December 2015 est.) |
| Debt - external: | $10.87 billion (31 December 2016 est.) |
| Debt - external: | $10.49 billion (31 December 2015 est.) |
| Exchange rates: | cordobas (NIO) per US dollar - |
| Exchange rates: | 28.678 (2016 est.) |
| Exchange rates: | 28.678 (2015 est.) |
| Exchange rates: | 27.257 (2014 est.) |
| Exchange rates: | 26.01 (2013 est.) |
| Exchange rates: | 23.55 (2012 est.) |
