| Economy | Burma |
| GDP - composition, by end use: | exports of goods and services: 18.9% |
| GDP - composition, by end use: | imports of goods and services: -20.4% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 38.8% |
| GDP - composition, by sector of origin: | industry: 19.3% |
| GDP - composition, by sector of origin: | services: 41.8% (2012 est.) |
| Agriculture - products: | rice, pulses, beans, sesame, groundnuts, sugarcane; fish and fish products; hardwood |
| Industries: | agricultural processing; wood and wood products; copper, tin, tungsten, iron; cement, construction materials; pharmaceuticals; fertilizer; oil and natural gas; garments, jade and gems |
| Industrial production growth rate: | 8.6% (2012 est.) |
| Labor force: | 33.41 million (2012 est.) |
| Labor force - by occupation: | agriculture: 70% |
| Labor force - by occupation: | industry: 7% |
| Labor force - by occupation: | services: 23% (2001 est.) |
| Unemployment rate: | 5.4% (2012 est.) |
| Unemployment rate: | 5.5% (2011 est.) |
| Population below poverty line: | 32.7% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 32.4% (1998) |
| Budget: | revenues: $2.271 billion |
| Budget: | expenditures: $4.487 billion (2012 est.) |
| Taxes and other revenues: | 4.2% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.1% of GDP (2012 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 1.5% (2012 est.) |
| Inflation rate (consumer prices): | 5% (2011 est.) |
| Central bank discount rate: | 9.95% (31 December 2010 est.) |
| Central bank discount rate: | 12% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 13% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 16.33% (31 December 2011 est.) |
| Stock of narrow money: | $11.54 billion (31 December 2012 est.) |
| Stock of narrow money: | $8.91 billion (31 December 2011 est.) |
| Stock of domestic credit: | $13.51 billion (31 December 2012 est.) |
| Stock of domestic credit: | $15.59 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-1.791 billion (2012 est.) |
| Current account balance: | $-1.424 billion (2011 est.) |
| Exports: | $7.82 billion (2012 est.) |
| Exports: | $7.699 billion (2011 est.) |
| Exports: | note: official export figures are grossly underestimated due to the value of timber, gems, narcotics, rice, and other products smuggled to Thailand, China, and Bangladesh |
| Exports - commodities: | natural gas, wood products, pulses, beans, fish, rice, clothing, jade and gems |
| Exports - partners: | Thailand 40.7%, India 14.8%, China 14.3%, Japan 7.4% (2012) |
| Imports: | $7.998 billion (2012 est.) |
| Imports: | $7.491 billion (2011 est.) |
| Imports: | note: import figures are grossly underestimated due to the value of consumer goods, diesel fuel, and other products smuggled in from Thailand, China, Malaysia, and India |
| Imports - commodities: | fabric, petroleum products, fertilizer, plastics, machinery, transport equipment; cement, construction materials, crude oil; food products, edible oil |
| Imports - partners: | China 36.9%, Thailand 20.2%, Singapore 8.7%, South Korea 8.7%, Japan 8.2%, Malaysia 4.6% (2012) |
| Reserves of foreign exchange and gold: | $6.977 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $7.017 billion (31 December 2011 est.) |
| Debt - external: | $5.591 billion (31 December 2012 est.) |
| Debt - external: | $7.766 billion (31 December 2011 est.) |
| Exchange rates: | kyats (MMK) per US dollar - |
| Exchange rates: | 853.48 (2012 est.) |
| Exchange rates: | 815 (2011 est.) |
| Exchange rates: | 5.58 (2010 est.) |
| Exchange rates: | 1,055 (2009) |
| Exchange rates: | 1,205 (2008) |
