| Economy | BURMA |
| Commercial bank prime lending rate: | 13% (31 December 2014 est.) |
| Stock of narrow money: | $13.8 billion (31 December 2015 est.) |
| Stock of narrow money: | $14.73 billion (31 December 2014 est.) |
| Stock of domestic credit: | $16.01 billion (31 December 2015 est.) |
| Stock of domestic credit: | $16.91 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$5.943 billion (2015 est.) |
| Current account balance: | -$3.683 billion (2014 est.) |
| Exports: | $9.135 billion (2015 est.) |
| Exports: | $9.083 billion (2014 est.) |
| Exports: | note: official export figures are grossly underestimated due to the value of timber, gems, narcotics, rice, and other products smuggled to Thailand, China, and Bangladesh |
| Exports - commodities: | natural gas; wood products; pulses and beans; fish; rice; clothing; minerals, including jade and gems |
| Exports - partners: | China 37.7%, Thailand 25.6%, India 7.7%, Japan 6.2% (2015) |
| Imports: | $12.49 billion (2015 est.) |
| Imports: | $12.09 billion (2014 est.) |
| Imports: | note: import figures are grossly underestimated due to the value of consumer goods, diesel fuel, and other products smuggled in from Thailand, China, Malaysia, and India |
| Imports - commodities: | fabric; petroleum products; fertilizer; plastics; machinery; transport equipment; cement, construction materials; food products‘ edible oil |
| Imports - partners: | China 42.2%, Thailand 18.5%, Singapore 11%, Japan 4.8% (2015) |
| Reserves of foreign exchange and gold: | $8.463 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $8.728 billion (31 December 2014 est.) |
| Debt - external: | $7.407 billion (31 December 2015 est.) |
| Debt - external: | $6.351 billion (31 December 2014 est.) |
| Exchange rates: | kyats (MMK) per US dollar - |
| Exchange rates: | 1,162.62 (2015 est.) |
| Exchange rates: | 984.35 (2014 est.) |
| Exchange rates: | 984.35 (2013 est.) |
| Exchange rates: | 853.48 (2012 est.) |
| Exchange rates: | 815 (2011 est.) |
