| Economy | Burma |
| GDP - composition, by end use: | imports of goods and services: -28.6% (2017 est.) |
| Ease of Doing Business Index scores: | 89.3 (2020) |
| Agriculture - products: | rice, pulses, beans, sesame, groundnuts; sugarcane; fish and fish products; hardwood |
| Industries: | agricultural processing; wood and wood products; copper, tin, tungsten, iron; cement, construction materials; pharmaceuticals; fertilizer; oil and natural gas; garments; jade and gems |
| Industrial production growth rate: | 8.9% (2017 est.) |
| Labor force: | 22.3 million (2017 est.) |
| Labor force - by occupation: | agriculture: 70% |
| Labor force - by occupation: | industry: 7% |
| Labor force - by occupation: | services: 23% (2001 est.) |
| Unemployment rate: | 4% (2017 est.) |
| Unemployment rate: | 4% (2016 est.) |
| Population below poverty line: | 25.6% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 32.4% (1998) |
| Budget: | revenues: 9.108 billion (2017 est.) |
| Budget: | expenditures: 11.23 billion (2017 est.) |
| Taxes and other revenues: | 13.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.2% (of GDP) (2017 est.) |
| Public debt: | 33.6% of GDP (2017 est.) |
| Public debt: | 35.7% of GDP (2016 est.) |
| Fiscal year: | 1 April - 31 March |
| Current account balance: | $240 million (2019 est.) |
| Current account balance: | -$2.398 billion (2018 est.) |
| Exports: | $16.267 billion (2018 est.) |
| Exports: | $14.611 billion (2017 est.) |
| Exports: | note: official export figures are grossly underestimated due to the value of timber, gems, narcotics, rice, and other products smuggled to Thailand, China, and Bangladesh |
| Exports - partners: | China 36.5%, Thailand 21.8%, Japan 6.6%, Singapore 6.4%, India 5.9% (2017) |
| Exports - commodities: | natural gas; wood products; pulses and beans; fish; rice; clothing; minerals, including jade and gems |
| Imports: | $14.958 billion (2018 est.) |
| Imports: | $16.21 billion (2017 est.) |
| Imports: | note: import figures are grossly underestimated due to the value of consumer goods, diesel fuel, and other products smuggled in from Thailand, China, Malaysia, and India |
| Imports - commodities: | fabric; petroleum products; fertilizer; plastics; machinery; transport equipment; cement, construction materials; food productsâ€˜ edible oil |
| Imports - partners: | China 31.4%, Singapore 15%, Thailand 11.1%, Saudi Arabia 7.5%, Malaysia 6.2%, Japan 6%, India 5.5%, Indonesia 4.5% (2017) |
| Reserves of foreign exchange and gold: | $4.924 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $4.63 billion (31 December 2016 est.) |
| Debt - external: | $6.594 billion (31 December 2017 est.) |
| Debt - external: | $8.2 billion (31 December 2016 est.) |
| Exchange rates: | kyats (MMK) per US dollar - |
| Exchange rates: | 1,361.9 (2017 est.) |
| Exchange rates: | 1,234.87 (2016 est.) |
| Exchange rates: | 1,234.87 (2015 est.) |
| Exchange rates: | 1,162.62 (2014 est.) |
| Exchange rates: | 984.35 (2013 est.) |
