| Economy | ARMENIA |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 29.8% |
| GDP - composition, by end use: | imports of goods and services: -42% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.4% |
| GDP - composition, by sector of origin: | industry: 28.7% |
| GDP - composition, by sector of origin: | services: 51.9% (2015 est.) |
| Agriculture - products: | fruit (especially grapes), vegetables; livestock |
| Industries: | diamond processing, metal-cutting machine tools, forging and pressing machines, electric motors, knitted wear, hosiery, shoes, silk fabric, chemicals, trucks, instruments, microelectronics, jewelry, software, food processing, brandy, mining |
| Industrial production growth rate: | 2.5% (2015 est.) |
| Labor force: | 1.56 million (2015 est.) |
| Labor force - by occupation: | agriculture: 39% |
| Labor force - by occupation: | industry: 17% |
| Labor force - by occupation: | services: 44% (2011 est.) |
| Unemployment rate: | 18.5% (2015 est.) |
| Population below poverty line: | 32% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.7% |
| Household income or consumption by percentage share: | highest 10%: 24.8% (2012) |
| Distribution of family income - Gini index: | 30.3 (2012) |
| Distribution of family income - Gini index: | 31.3 (2011) |
| Budget: | revenues: $2.471 billion |
| Budget: | expenditures: $2.957 billion (2015 est.) |
| Taxes and other revenues: | 23.4% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -4.6% of GDP (2015 est.) |
| Public debt: | 48.8% of GDP (2015 est.) |
| Public debt: | 43.7% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.7% (2015 est.) |
| Inflation rate (consumer prices): | 3% (2014 est.) |
| Central bank discount rate: | 10.5% (10 February 2015) |
| Central bank discount rate: | 8% (11 January 2012) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy instrument of the Armenian National Bank |
| Commercial bank prime lending rate: | 17.59% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 16.41% (31 December 2014 est.) |
| Commercial bank prime lending rate: | note: average lending rate on loans up to one year |
| Stock of narrow money: | $1.149 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.118 billion (31 December 2014 est.) |
| Stock of broad money: | $2.038 billion (31 December 2015 est.) |
| Stock of broad money: | $1.723 billion (31 December 2014 est.) |
| Stock of domestic credit: | $5.022 billion (31 December 2015 est.) |
| Stock of domestic credit: | $5.205 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $132.1 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $139.6 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $144.8 million (31 December 2010 est.) |
| Current account balance: | -$335 million (2015 est.) |
| Current account balance: | -$849 million (2014 est.) |
| Exports: | $1.626 billion (2015 est.) |
| Exports: | $1.698 billion (2014 est.) |
| Exports - commodities: | pig iron, unwrought copper, nonferrous metals, gold, diamonds, mineral products, foodstuffs, energy |
| Exports - partners: | Russia 15.2%, China 11.1%, Germany 9.8%, Iraq 8.8%, Georgia 7.8%, Canada 7.6%, Bulgaria 5.3%, Iran 5.3% (2015) |
| Imports: | $2.78 billion (2015 est.) |
| Imports: | $3.754 billion (2014 est.) |
| Imports - commodities: | natural gas, petroleum, tobacco products, foodstuffs, diamonds, pharmaceuticals, cars |
| Imports - partners: | Russia 29.1%, China 9.7%, Germany 6.2%, Iran 6.1%, Italy 4.6%, Turkey 4.2% (2015) |
| Reserves of foreign exchange and gold: | $1.775 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $1.489 billion (31 December 2014 est.) |
| Debt - external: | $8.554 billion (31 December 2015 est.) |
| Debt - external: | $8.551 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $4.817 billion (2013) |
| Exchange rates: | drams (AMD) per US dollar - |
| Exchange rates: | 477.92 (2015 est.) |
| Exchange rates: | 415.92 (2014 est.) |
| Exchange rates: | 415.92 (2013 est.) |
| Exchange rates: | 401.76 (2012 est.) |
| Exchange rates: | 372.5 (2011 est.) |
