| Economy | ARMENIA |
| GDP - composition, by end use: | government consumption: 13.9% |
| GDP - composition, by end use: | investment in fixed capital: 17.8% |
| GDP - composition, by end use: | investment in inventories: 1.4% |
| GDP - composition, by end use: | exports of goods and services: 33.1% |
| GDP - composition, by end use: | imports of goods and services: -42.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 17.8% |
| GDP - composition, by sector of origin: | industry: 27.5% |
| GDP - composition, by sector of origin: | services: 54.7% (2016 est.) |
| Agriculture - products: | fruit (especially grapes and apricots), vegetables; livestock |
| Industries: | brandy, mining, diamond processing, metal-cutting machine tools, forging and pressing machines, electric motors, knitted wear, hosiery, shoes, silk fabric, chemicals, trucks, instruments, microelectronics, jewelry, software, food processing |
| Industrial production growth rate: | -1% (2016 est.) |
| Labor force: | 1.514 million (2016 est.) |
| Labor force - by occupation: | agriculture: 36.3% |
| Labor force - by occupation: | industry: 17% |
| Labor force - by occupation: | services: 46.7% (2013 est.) |
| Unemployment rate: | 18.8% (2016 est.) |
| Unemployment rate: | 18.5% (2015 est.) |
| Population below poverty line: | 32% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 25.7% (2014) |
| Distribution of family income - Gini index: | 31.5 (2014) |
| Distribution of family income - Gini index: | 31.5 (2013 est.) |
| Budget: | revenues: $2.476 billion |
| Budget: | expenditures: $3.046 billion (2016 est.) |
| Taxes and other revenues: | 23.6% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -5.4% of GDP (2016 est.) |
| Public debt: | 56.5% of GDP (2016 est.) |
| Public debt: | 48.7% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -1.4% (2016 est.) |
| Inflation rate (consumer prices): | 3.7% (2015 est.) |
| Central bank discount rate: | 6.5% (14 December 2016) |
| Central bank discount rate: | 10.5% (10 February 2015) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy instrument of the Armenian National Bank |
| Commercial bank prime lending rate: | 17.36% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 17.59% (31 December 2015 est.) |
| Commercial bank prime lending rate: | note: average lending rate on loans up to one year |
| Stock of narrow money: | $1.355 billion (31 December 2016 est.) |
| Stock of narrow money: | $1.149 billion (31 December 2015 est.) |
| Stock of broad money: | $2.219 billion (31 December 2016 est.) |
| Stock of broad money: | $1.779 billion (31 December 2015 est.) |
| Stock of domestic credit: | $5.689 billion (31 December 2016 est.) |
| Stock of domestic credit: | $5.022 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $132.1 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $139.6 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $144.8 million (31 December 2010 est.) |
| Current account balance: | $-238 million (2016 est.) |
| Current account balance: | $-279.2 million (2015 est.) |
| Exports: | $1.891 billion (2016 est.) |
| Exports: | $1.624 billion (2015 est.) |
| Exports - commodities: | unwrought copper, pig iron, nonferrous metals, gold, diamonds, mineral products, foodstuffs, brandy, cigarettes, energy |
| Exports - partners: | Russia 21%, Bulgaria 8.7%, Georgia 8.1%, Canada 7.9%, Germany 7.9%, Iraq 7.8%, China 5.7%, Iran 4.2%, Switzerland 4.2% (2016) |
| Imports: | $2.835 billion (2016 est.) |
| Imports: | $2.81 billion (2015 est.) |
| Imports - commodities: | natural gas, petroleum, tobacco products, foodstuffs, diamonds, pharmaceuticals, cars |
| Imports - partners: | Russia 30.7%, China 11%, Iran 5.1%, Turkey 5%, Germany 5% (2016) |
| Reserves of foreign exchange and gold: | $2.204 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $1.775 billion (31 December 2015 est.) |
| Debt - external: | $8.987 billion (31 December 2016 est.) |
| Debt - external: | $8.925 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $4.169 billion (2015 est.) |
| Stock of direct foreign investment - at home: | $4.087 billion (2014 est.) |
| Stock of direct foreign investment - abroad: | $228 million (2015 est.) |
| Stock of direct foreign investment - abroad: | $215 million (2014 est.) |
| Exchange rates: | drams (AMD) per US dollar - |
| Exchange rates: | 492.7 (2016 est.) |
| Exchange rates: | 477.92 (2015 est.) |
| Exchange rates: | 477.92 (2014 est.) |
| Exchange rates: | 415.92 (2013 est.) |
| Exchange rates: | 401.76 (2012 est.) |
