| Economy | ARMENIA |
| Household income or consumption by percentage share: | highest 10%: 24.8% (2012) |
| Distribution of family income - Gini index: | 30.3 (2012) |
| Distribution of family income - Gini index: | 31.3 (2011) |
| Budget: | revenues: $2.825 billion |
| Budget: | expenditures: $3.01 billion (2014 est.) |
| Taxes and other revenues: | 25.4% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -1.7% of GDP (2014 est.) |
| Public debt: | 42.4% of GDP (2014 est.) |
| Public debt: | 43.5% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3% (2014 est.) |
| Inflation rate (consumer prices): | 5.8% (2013 est.) |
| Central bank discount rate: | 10.5% (10 February 2015) |
| Central bank discount rate: | 8% (11 January 2012) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key monetary policy instrument of the Armenian National Bank |
| Commercial bank prime lending rate: | 16.21% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 15.04% (31 December 2013 est.) |
| Commercial bank prime lending rate: | note: average lending rate on loans up to one year |
| Stock of narrow money: | $1.13 billion (31 December 2014 est.) |
| Stock of narrow money: | $1.424 billion (31 December 2013 est.) |
| Stock of broad money: | $1.74 billion (31 December 2014 est.) |
| Stock of broad money: | $2.07 billion (31 December 2013 est.) |
| Stock of domestic credit: | $4.655 billion (31 December 2013 est.) |
| Stock of domestic credit: | $4.39 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $132.1 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $139.6 million (31 December 2011) |
| Market value of publicly traded shares: | $144.8 million (31 December 2010 est.) |
| Current account balance: | -$949 million (2014 est.) |
| Current account balance: | -$839.2 billion (2013 est.) |
| Exports: | $1.519 billion (2014 est.) |
| Exports: | $1.635 billion (2013 est.) |
| Exports - commodities: | pig iron, unwrought copper, nonferrous metals, gold, diamonds, mineral products, foodstuffs, energy |
| Exports - partners: | Russia 20.3%, China 11.3%, Germany 10.4%, Canada 6.1%, US 5.8%, Bulgaria 5.6%, Iran 5.6%, Georgia 5.5%, Iraq 5.3%, Netherlands 4.9%, Belgium 4.1% (2014) |
| Imports: | $4.402 billion (2014 est.) |
| Imports: | $4.386 billion (2013 est.) |
| Imports - commodities: | natural gas, petroleum, tobacco products, foodstuffs, diamonds, pharmaceuticals, cars |
| Imports - partners: | Russia 24.9%, China 9.5%, Germany 6.4%, Turkey 5.3%, Iran 4.7%, Ukraine 4.6%, Italy 4.1% (2014) |
| Reserves of foreign exchange and gold: | $1.489 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $2.251 billion (31 December 2013 est.) |
| Debt - external: | $8.452 billion (31 December 2014 est.) |
| Debt - external: | $8.694 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $4.817 billion (2013) |
| Exchange rates: | drams (AMD) per US dollar - |
| Exchange rates: | 415.9 (2014 est.) |
| Exchange rates: | 409.6 (2013 est.) |
| Exchange rates: | 401.76 (2012 est.) |
| Exchange rates: | 372.5 (2011 est.) |
| Exchange rates: | 373.66 (2010 est.) |
