| Economy | Armenia |
| GDP - per capita (PPP): | $9,500 (2017 est.) |
| GDP - per capita (PPP): | $8,800 (2016 est.) |
| GDP - per capita (PPP): | $8,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 17.8% of GDP (2017 est.) |
| Gross national saving: | 16.6% of GDP (2016 est.) |
| Gross national saving: | 18.4% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 16.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 28.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 54.8% (2017 est.) |
| GDP - composition, by end use: | household consumption: 76.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 14.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 17.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 4.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 38.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -50.4% (2017 est.) |
| Ease of Doing Business Index scores: | 69.7 (2020) |
| Agriculture - products: | fruit (especially grapes and apricots), vegetables; livestock |
| Industries: | brandy, mining, diamond processing, metal-cutting machine tools, forging and pressing machines, electric motors, knitted wear, hosiery, shoes, silk fabric, chemicals, trucks, instruments, microelectronics, jewelry, software, food processing |
| Industrial production growth rate: | 5.4% (2017 est.) |
| Labor force: | 1.507 million (2017 est.) |
| Labor force - by occupation: | agriculture: 36.3% |
| Labor force - by occupation: | industry: 17% |
| Labor force - by occupation: | services: 46.7% (2013 est.) |
| Unemployment rate: | 18.9% (2017 est.) |
| Unemployment rate: | 18.8% (2016 est.) |
| Population below poverty line: | 32% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 25.7% (2014) |
| Budget: | revenues: 2.644 billion (2017 est.) |
| Budget: | expenditures: 3.192 billion (2017 est.) |
| Taxes and other revenues: | 22.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -4.8% (of GDP) (2017 est.) |
| Public debt: | 53.5% of GDP (2017 est.) |
| Public debt: | 51.9% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | -$328 million (2017 est.) |
| Current account balance: | -$238 million (2016 est.) |
| Exports: | $2.361 billion (2017 est.) |
| Exports: | $1.891 billion (2016 est.) |
| Exports - partners: | Russia 24.2%, Bulgaria 12.8%, Switzerland 12%, Georgia 6.9%, Germany 5.9%, China 5.5%, Iraq 5.4%, UAE 4.6%, Netherlands 4.1% (2017) |
| Exports - commodities: | unwrought copper, pig iron, nonferrous metals, gold, diamonds, mineral products, foodstuffs, brandy, cigarettes, energy |
| Imports: | $3.771 billion (2017 est.) |
| Imports: | $2.835 billion (2016 est.) |
| Imports - commodities: | natural gas, petroleum, tobacco products, foodstuffs, diamonds, pharmaceuticals, cars |
| Imports - partners: | Russia 28%, China 11.5%, Turkey 5.5%, Germany 4.9%, Iran 4.3% (2017) |
| Reserves of foreign exchange and gold: | $2.314 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.204 billion (31 December 2016 est.) |
| Debt - external: | $10.41 billion (31 December 2017 est.) |
| Debt - external: | $8.987 billion (31 December 2016 est.) |
| Exchange rates: | drams (AMD) per US dollar - |
| Exchange rates: | 487.9 (2017 est.) |
| Exchange rates: | 480.49 (2016 est.) |
| Exchange rates: | 480.49 (2015 est.) |
| Exchange rates: | 477.92 (2014 est.) |
| Exchange rates: | 415.92 (2013 est.) |
