| Economy | Malawi |
| Market value of publicly traded shares: | $101.9 million (31 December 2015 est.) |
| Current account balance: | -$591 million (2017 est.) |
| Current account balance: | -$744 million (2016 est.) |
| Exports: | $1.42 billion (2017 est.) |
| Exports: | $1.361 billion (2016 est.) |
| Exports - partners: | Zimbabwe 13.1%, Mozambique 11.8%, Belgium 10.7%, South Africa 6.3%, Netherlands 5%, UK 4.7%, Germany 4.3%, US 4.2% (2017) |
| Exports - commodities: | tobacco (55%), dried legumes (8.8%), sugar (6.7%), tea (5.7%), cotton (2%), peanuts, coffee, soy (2015 est.) |
| Imports: | $2.312 billion (2017 est.) |
| Imports: | $2.277 billion (2016 est.) |
| Imports - commodities: | food, petroleum products, semi-manufactures, consumer goods, transportation equipment |
| Imports - partners: | South Africa 20.7%, China 14.2%, India 11.6%, UAE 7%, Netherlands 4.4% (2017) |
| Reserves of foreign exchange and gold: | $780.2 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $585.7 million (31 December 2016 est.) |
| Debt - external: | $2.102 billion (31 December 2017 est.) |
| Debt - external: | $1.5 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $142.5 million (2015 est.) |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | Malawian kwachas (MWK) per US dollar - |
| Exchange rates: | 731.69 (2017 est.) |
| Exchange rates: | 720.1 (2016 est.) |
| Exchange rates: | 713.85 (2015 est.) |
| Exchange rates: | 499.6 (2014 est.) |
| Exchange rates: | 424.9 (2013 est.) |
