| Economy | QATAR |
| Market value of publicly traded shares: | $126.4 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $125.4 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $123.6 billion (31 December 2013 est.) |
| Current account balance: | $9.146 billion (2015 est.) |
| Current account balance: | $49.66 billion (2014 est.) |
| Exports: | $77.29 billion (2015 est.) |
| Exports: | $126.7 billion (2014 est.) |
| Exports - commodities: | liquefied natural gas (LNG), petroleum products, fertilizers, steel |
| Exports - partners: | Japan 25.4%, India 14.6%, China 8.4%, UAE 6.8%, Singapore 5.6%, UK 5.5%, Thailand 4.2% (2015) |
| Imports: | $28.5 billion (2015 est.) |
| Imports: | $31.15 billion (2014 est.) |
| Imports - commodities: | machinery and transport equipment, food, chemicals |
| Imports - partners: | China 11.9%, US 11.3%, UAE 9%, Germany 7.7%, Japan 6.7%, UK 5.9%, Italy 4.6%, Saudi Arabia 4.4% (2015) |
| Reserves of foreign exchange and gold: | $37.26 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $43.32 billion (31 December 2014 est.) |
| Debt - external: | $141.6 billion (31 December 2015 est.) |
| Debt - external: | $138.2 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $34.53 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $33.46 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $49.73 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $45.71 billion (31 December 2014 est.) |
| Exchange rates: | Qatari rials (QAR) per US dollar - |
| Exchange rates: | 3.64 (2015 est.) |
| Exchange rates: | 3.64 (2014 est.) |
| Exchange rates: | 3.64 (2013 est.) |
| Exchange rates: | 3.64 (2012 est.) |
| Exchange rates: | 3.64 (2011 est.) |
