| Economy | European Union |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 22.7% of GDP (2017 est.) |
| Gross national saving: | 22.2% of GDP (2016 est.) |
| Gross national saving: | 22% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 25.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 70.9% (2017 est.) |
| GDP - composition, by end use: | household consumption: 54.4% (2016 est.) |
| GDP - composition, by end use: | government consumption: 20.4% (2016 est.) |
| GDP - composition, by end use: | investment in fixed capital: 19.8% (2016 est.) |
| GDP - composition, by end use: | investment in inventories: 0.4% (2016 est.) |
| GDP - composition, by end use: | exports of goods and services: 43.9% (2016 est.) |
| GDP - composition, by end use: | imports of goods and services: -40.5% (2016 est.) |
| Ease of Doing Business Index scores: | Agriculture - products: |
| Ease of Doing Business Index scores: | wheat, barley, oilseeds, sugar beets, wine, grapes; dairy products, cattle, sheep, pigs, poultry; fish |
| Industries: | among the world's largest and most technologically advanced regions, the EU industrial base includes: ferrous and non-ferrous metal production and processing, metal products, petroleum, coal, cement, chemicals, pharmaceuticals, aerospace, rail transportation equipment, passenger and commercial vehicles, construction equipment, industrial equipment, shipbuilding, electrical power equipment, machine tools and automated manufacturing systems, electronics and telecommunications equipment, fishing, food and beverages, furniture, paper, textiles |
| Industrial production growth rate: | 3.5% (2017 est.) |
| Labor force: | 238.9 million (2016 est.) |
| Labor force - by occupation: | agriculture: 5% |
| Labor force - by occupation: | industry: 21.9% |
| Labor force - by occupation: | services: 73.1% (2014 est.) |
| Unemployment rate: | 8.6% (2016 est.) |
| Unemployment rate: | 9.4% (2015 est.) |
| Population below poverty line: | 9.8% (2013 est.) |
| Population below poverty line: | note: see individual country entries of member states |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 23.8% (2016 est.) |
| Taxes and other revenues: | 45.2% (of GDP) (2014) |
| Budget surplus (+) or deficit (-): | -3% (of GDP) (2014) |
| Public debt: | 86.8% of GDP (2014) |
| Public debt: | 85.5% of GDP (2013) |
| Fiscal year: | NA |
| Current account balance: | $404.9 billion (2017 est.) |
| Current account balance: | $359.7 billion (2016 est.) |
| Exports: | $7,102,345,000,000 (2019 est.) |
| Exports: | $6,929,845,000,000 (2018 est.) |
| Exports: | $6,690,764,000,000 (2017 est.) |
| Exports: | note: external exports, excluding intra-EU trade |
| Exports - partners: | United States 20.7%, China 9.6%, Switzerland 8.1%, Turkey 4.4%, Russia 4.1% (2016 est.) |
| Exports - commodities: | machinery, motor vehicles, pharmaceuticals and other chemicals, fuels, aircraft, plastics, iron and steel, wood pulp and paper products, alcoholic beverages, furniture |
| Imports: | $6,649,513,000,000 (2019 est.) |
| Imports: | $6,400,412,000,000 (2018 est.) |
| Imports: | $6,177,446,000,000 (2017 est.) |
| Imports: | note: external imports, excluding intra-EU trade |
| Imports - commodities: | fuels and crude oil, machinery, vehicles, pharmaceuticals and other chemicals, precious gemstones, textiles, aircraft, plastics, metals, ships |
| Imports - partners: | China 20.1%, United States 14.5%, Switzerland 7.1%, Russia 6.3% (2016 est.) |
| Reserves of foreign exchange and gold: | $740.9 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $746.9 billion (31 December 2013) |
| Reserves of foreign exchange and gold: | note: data are for the European Central Bank |
| Debt - external: | $29.27 trillion (31 December 2016 est.) |
| Debt - external: | $28.68 trillion (31 December 2015 est.) |
| Exchange rates: | euros per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
