| Economy | West Bank |
| Distribution of family income - Gini index: | 34.5 (2009 est.) |
| Distribution of family income - Gini index: | 38.7 (2007 est.) |
| Distribution of family income - Gini index: | note: includes Gaza Strip |
| Budget: | revenues: 1.314 billion (2017 est.) |
| Budget: | expenditures: 1.278 billion (2017 est.) |
| Budget: | note: includes Palestinian Authority expenditures in the Gaza Strip |
| Taxes and other revenues: | 13.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0.4% (of GDP) (2017 est.) |
| Public debt: | 24.4% of GDP (2014 est.) |
| Public debt: | 23.8% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.2% (2017 est.) |
| Inflation rate (consumer prices): | -0.2% (2016 est.) |
| Inflation rate (consumer prices): | note: excludes Gaza Strip |
| Commercial bank prime lending rate: | 5.8% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 6.15% (31 December 2016 est.) |
| Stock of narrow money: | $416.5 million (31 December 2017 est.) |
| Stock of narrow money: | $317.8 million (31 December 2016 est.) |
| Stock of broad money: | $416.5 million (31 December 2017 est.) |
| Stock of broad money: | $317.8 million (31 December 2016 est.) |
| Stock of domestic credit: | $2.211 billion (31 December 2017 est.) |
| Stock of domestic credit: | $1.712 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $3.339 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $3.187 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $3.247 billion (31 December 2013 est.) |
| Current account balance: | -$1.444 billion (2017 est.) |
| Current account balance: | -$1.348 billion (2016 est.) |
| Exports: | $2.126 billion (2017 est.) |
| Exports: | $1.827 billion (2016 est.) |
| Exports: | note: excludes Gaza Strip |
| Exports - commodities: | stone, olives, fruit, vegetables, limestone |
| Imports: | $6.565 billion (2017 est.) |
| Imports: | $6.207 billion (2016 est.) |
| Imports: | note: data include the Gaza Strip |
| Imports - commodities: | food, consumer goods, construction materials, petroleum, chemicals |
| Reserves of foreign exchange and gold: | $0 (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $583 million (31 December 2015 est.) |
| Debt - external: | $1.662 billion (31 March 2016 est.) |
| Debt - external: | $1.467 billion (31 March 2015 est.) |
| Debt - external: | note: data include the Gaza Strip |
| Exchange rates: | new Israeli shekels (ILS) per US dollar - |
| Exchange rates: | 3.606 (2017 est.) |
| Exchange rates: | 3.841 (2016 est.) |
| Exchange rates: | 3.841 (2015 est.) |
| Exchange rates: | 3.8869 (2014 est.) |
| Exchange rates: | 3.5779 (2013 est.) |
