| Economy | BRAZIL |
| Imports: | $172.4 billion (2015 est.) |
| Imports - commodities: | machinery, electrical and transport equipment, chemical products, oil, automotive parts, electronics |
| Imports - partners: | US 17.6%, China 16.9%, Argentina 6.7%, Germany 6.6%, South Korea 4.4% (2016) |
| Reserves of foreign exchange and gold: | $365 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $356.5 billion (31 December 2015 est.) |
| Debt - external: | $551.3 billion (31 December 2016 est.) |
| Debt - external: | $543.4 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $763.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $597.5 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $319.1 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $288.5 billion (31 December 2015 est.) |
| Exchange rates: | reals (BRL) per US dollar - |
| Exchange rates: | 3.4901 (2016 est.) |
| Exchange rates: | 3.4901 (2015 est.) |
| Exchange rates: | 3.3315 (2014 est.) |
| Exchange rates: | 2.3535 (2013 est.) |
| Exchange rates: | 1.95 (2012 est.) |
