| Economy | BRAZIL |
| Stock of domestic credit: | $1.644 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $2.251 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.23 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $1.229 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.546 trillion (31 December 2013 est.) |
| Current account balance: | -$58.91 billion (2015 est.) |
| Current account balance: | -$104.2 billion (2014 est.) |
| Exports: | $190.1 billion (2015 est.) |
| Exports: | $224.1 billion (2014 est.) |
| Exports - commodities: | transport equipment, iron ore, soybeans, footwear, coffee, automobiles |
| Exports - partners: | China 18.6%, US 12.7%, Argentina 6.7%, Netherlands 5.3% (2015) |
| Imports: | $172.4 billion (2015 est.) |
| Imports: | $230.7 billion (2014 est.) |
| Imports - commodities: | machinery, electrical and transport equipment, chemical products, oil, automotive parts, electronics |
| Imports - partners: | China 17.9%, US 15.6%, Germany 6.1%, Argentina 6% (2015) |
| Reserves of foreign exchange and gold: | $356.5 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $363.6 billion (31 December 2014 est.) |
| Debt - external: | $542.3 billion (31 December 2015 est.) |
| Debt - external: | $556.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $615 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $739.2 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $288.5 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $299.7 billion (31 December 2014 est.) |
| Exchange rates: | reals (BRL) per US dollar - |
| Exchange rates: | 3.3315 (2015 est.) |
| Exchange rates: | 2.3535 (2014 est.) |
| Exchange rates: | 2.3535 (2013 est.) |
| Exchange rates: | 1.95 (2012 est.) |
| Exchange rates: | 1.675 (2011 est.) |
