| Economy | Brazil |
| Imports: | $223.2 billion (2012 est.) |
| Imports: | $226.2 billion (2011 est.) |
| Imports - commodities: | machinery, electrical and transport equipment, chemical products, oil, automotive parts, electronics |
| Imports - partners: | China 15.3%, US 14.6%, Argentina 7.4%, Germany 6.4%, South Korea 4.1% (2012) |
| Reserves of foreign exchange and gold: | $373.1 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $352 billion (31 December 2011 est.) |
| Debt - external: | $438.9 billion (31 December 2012 est.) |
| Debt - external: | $404.3 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $604.5 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $539.2 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $177.1 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $179.9 billion (31 December 2011 est.) |
| Exchange rates: | reals (BRL) per US dollar - |
| Exchange rates: | 1.95 (2012 est.) |
| Exchange rates: | 1.68 (2011 est.) |
| Exchange rates: | 1.76 (2010 est.) |
| Exchange rates: | 2 (2009) |
| Exchange rates: | 1.86 (2008) |
