| Economy | ZIMBABWE |
| Unemployment rate: | note: figures include unemployment and underemployment; true unemployment is unknown and, under current economic conditions, unknowable |
| Population below poverty line: | 72.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 40.4% (1995) |
| Distribution of family income - Gini index: | 50.1 (2006) |
| Distribution of family income - Gini index: | 50.1 (1995) |
| Budget: | revenues: $3.732 billion |
| Budget: | expenditures: $4.615 billion (2014) |
| Taxes and other revenues: | 27.2% of GDP (2014) |
| Budget surplus (+) or deficit (-): | -6.4% of GDP (2014) |
| Public debt: | 181% of GDP (2014 est.) |
| Public debt: | 181.2% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0% (2014 est.) |
| Inflation rate (consumer prices): | 1.6% (2013 est.) |
| Central bank discount rate: | 7.17% (31 December 2010) |
| Central bank discount rate: | 975% (31 December 2007) |
| Commercial bank prime lending rate: | 22% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 28% (31 December 2013 est.) |
| Stock of narrow money: | $43.43 billion (31 December 2014 est.) |
| Stock of narrow money: | $23.04 billion (31 December 2013 est.) |
| Stock of narrow money: | note: Zimbabwe's central bank no longer publishes data on monetary aggregates, except for bank deposits, which amounted to $2.1 billion in November 2010; the Zimbabwe dollar stopped circulating in early 2009; since then, the US dollar and South African rand have been the most frequently used currencies; there are no reliable estimates of the amount of foreign currency circulating in Zimbabwe |
| Stock of broad money: | $47.64 billion (31 December 2013 est.) |
| Stock of broad money: | $101.1 billion (31 December 2014 est.) |
| Stock of domestic credit: | $14.07 billion (31 December 2013 est.) |
| Stock of domestic credit: | $9.844 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $4.073 billion (13 April 2015 est.) |
| Market value of publicly traded shares: | $11.82 billion (31 December 2012) |
| Market value of publicly traded shares: | $10.9 billion (31 December 2011 est.) |
| Current account balance: | -$3.044 billion (2014 est.) |
| Current account balance: | -$576 million (2013 est.) |
| Exports: | $3.263 billion (2014 est.) |
| Exports: | $3.144 billion (2013 est.) |
| Exports - commodities: | platinum, cotton, tobacco, gold, ferroalloys, textiles/clothing |
| Exports - partners: | China 27.8%, Democratic Republic of the Congo 12.3%, Botswana 11%, South Africa 6.8%, Belgium 4.4%, Zambia 4.1% (2014) |
| Imports: | $5.135 billion (2014 est.) |
| Imports: | $4.571 billion (2013 est.) |
| Imports - commodities: | machinery and transport equipment, other manufactures, chemicals, fuels, food products |
| Imports - partners: | South Africa 49.7%, China 8.8%, Zambia 5.5%, India 4.3% (2014) |
| Reserves of foreign exchange and gold: | $448 million (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $475 million (31 December 2013 est.) |
| Debt - external: | $9.361 billion (31 December 2014 est.) |
| Debt - external: | $8.71 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Zimbabwean dollars (ZWD) per US dollar - |
| Exchange rates: | NA (2013) |
| Exchange rates: | 234.25 (2010) |
| Exchange rates: | 234.25 (2009) |
| Exchange rates: | 9,686.8 (2007) |
| Exchange rates: | note: the dollar was adopted as a legal currency in 2009; since then the Zimbabwean dollar has experienced hyperinflation and is essentially worthless |
