| Economy | Zimbabwe |
| Stock of narrow money: | $12.27 billion (31 December 2012 est.) |
| Stock of narrow money: | $6.586 billion (31 December 2011 est.) |
| Stock of narrow money: | note: Zimbabwe's central bank no longer publishes data on monetary aggregates, except for bank deposits, which amounted to $2.1 billion in November 2010; the Zimbabwe dollar stopped circulating in early 2009; since then, the US dollar and South African rand have been the most frequently used currencies; there are no reliable estimates of the amount of foreign currency circulating in Zimbabwe |
| Stock of broad money: | $11 billion (31 December 2011 est.) |
| Stock of broad money: | $22.71 billion (31 December 2012 est.) |
| Stock of domestic credit: | $9.844 billion (31 December 2012 est.) |
| Stock of domestic credit: | $6.289 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $10.9 billion (31 December 2011) |
| Market value of publicly traded shares: | $11.48 billion (31 December 2010) |
| Market value of publicly traded shares: | $3.83 billion (31 December 2009) |
| Current account balance: | $-416.5 million (2012 est.) |
| Current account balance: | $-522.9 million (2011 est.) |
| Exports: | $3.314 billion (2012 est.) |
| Exports: | $2.932 billion (2011 est.) |
| Exports - commodities: | platinum, cotton, tobacco, gold, ferroalloys, textiles/clothing |
| Exports - partners: | China 21.1%, South Africa 15.1%, Democratic Republic of the Congo 12.1%, Botswana 10.8%, Italy 4.6% (2012) |
| Imports: | $4.569 billion (2012 est.) |
| Imports: | $4.272 billion (2011 est.) |
| Imports - commodities: | machinery and transport equipment, other manufactures, chemicals, fuels, food products |
| Imports - partners: | South Africa 51.9%, China 10% (2012) |
| Reserves of foreign exchange and gold: | $575.6 million (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $660.3 million (31 December 2011 est.) |
| Debt - external: | $8.765 billion (31 December 2012 est.) |
| Debt - external: | $6.276 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Zimbabwean dollars (ZWD) per US dollar - |
| Exchange rates: | 234.25 (2010) |
| Exchange rates: | 234.25 (2009) |
| Exchange rates: | 9,686.8 (2007) |
| Exchange rates: | note: the dollar was adopted as a legal currency in 2009; since then the Zimbabwean dollar has experienced hyperinflation and is essentially worthless |
