| Economy | Morocco |
| Labor force - by occupation: | industry: 19.8% |
| Labor force - by occupation: | services: 35.5% (2006 est.) |
| Unemployment rate: | 9% (2012 est.) |
| Unemployment rate: | 8.9% (2011 est.) |
| Population below poverty line: | 15% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 33.2% (2007) |
| Distribution of family income - Gini index: | 40.9 (2007 est.) |
| Distribution of family income - Gini index: | 39.5 (1999 est.) |
| Budget: | revenues: $25.35 billion |
| Budget: | expenditures: $33.32 billion (2012 est.) |
| Taxes and other revenues: | 26.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -8.4% of GDP (2012 est.) |
| Public debt: | 71.2% of GDP (2012 est.) |
| Public debt: | 64.8% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.2% (2012 est.) |
| Inflation rate (consumer prices): | 0.9% (2011 est.) |
| Central bank discount rate: | 6.5% (31 December 2010 est.) |
| Central bank discount rate: | 3.31% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 6.3% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 6.32% (31 December 2011 est.) |
| Stock of narrow money: | $71.51 billion (31 December 2012 est.) |
| Stock of narrow money: | $73.12 billion (31 December 2011 est.) |
| Stock of broad money: | $107.2 billion (31 December 2011 est.) |
| Stock of broad money: | $102.4 billion (31 December 2010 est.) |
| Stock of domestic credit: | $111.6 billion (31 December 2012 est.) |
| Stock of domestic credit: | $111.2 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $60.09 billion (31 December 2011) |
| Market value of publicly traded shares: | $69.15 billion (31 December 2010) |
| Market value of publicly traded shares: | $62.91 billion (31 December 2009) |
| Current account balance: | $-9.843 billion (2012 est.) |
| Current account balance: | $-8.337 billion (2011 est.) |
| Exports: | $16.99 billion (2012 est.) |
| Exports: | $15.95 billion (2011 est.) |
| Exports - commodities: | clothing and textiles, electric components, inorganic chemicals, transistors, crude minerals, fertilizers (including phosphates), petroleum products, citrus fruits, vegetables, fish |
| Exports - partners: | France 21%, Spain 17.3%, Brazil 5.4%, India 4.9%, US 4.6% (2012) |
| Imports: | $38.88 billion (2012 est.) |
| Imports: | $37.33 billion (2011 est.) |
| Imports - commodities: | crude petroleum, textile fabric, telecommunications equipment, wheat, gas and electricity, transistors, plastics |
| Imports - partners: | Spain 13.1%, France 12.1%, China 6.9%, US 6.8%, Saudi Arabia 6.2%, Italy 5.1%, Russia 5%, Germany 4.9% (2012) |
| Reserves of foreign exchange and gold: | $17.54 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $20.64 billion (31 December 2011 est.) |
| Debt - external: | $32.15 billion (31 December 2012 est.) |
| Debt - external: | $29.05 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $48.18 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $44.49 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $2.423 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.905 billion (31 December 2011 est.) |
| Exchange rates: | Moroccan dirhams (MAD) per US dollar - |
| Exchange rates: | 8.6 (2012 est.) |
| Exchange rates: | 8.07 (2011 est.) |
| Exchange rates: | 8.42 (2010 est.) |
| Exchange rates: | 8.06 (2009) |
| Exchange rates: | 7.53 (2008) |
