| Economy | Mauritania |
| Reserves of foreign exchange and gold: | $875 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $849.3 million (31 December 2016 est.) |
| Debt - external: | $4.15 billion (31 December 2017 est.) |
| Debt - external: | $3.899 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | (31 December 2009 est.) |
| Exchange rates: | ouguiyas (MRO) per US dollar - |
| Exchange rates: | 363.6 (2017 est.) |
| Exchange rates: | 352.37 (2016 est.) |
| Exchange rates: | 352.37 (2015 est.) |
| Exchange rates: | 319.7 (2014 est.) |
| Exchange rates: | 299.5 (2013 est.) |
